-4.76E-05,-4.97E-05,-4.97E-05,-4.97E-05,-4.97E-05,,,,,-4.71E-05
-4.70E-05,-4.95E-05,-4.95E-05,-4.95E-05,-4.95E-05,,,,,-4.69E-05
-4.68E-05,-4.94E-05,-4.93E-05,-4.94E-05,-4.94E-05,,,,,-4.67E-05
-4.66E-05,-4.92E-05,-4.92E-05,-4.92E-05,-4.92E-05,,,,,-4.66E-05
-4.65E-05,-4.90E-05,-4.90E-05,-4.90E-05,-4.90E-05,,,,,-4.65E-05
-4.63E-05,-4.89E-05,-4.89E-05,-4.89E-05,-4.89E-05,,,,,-4.63E-05
-4.61E-05,-4.87E-05,-4.87E-05,-4.87E-05,-4.87E-05,,,,,-4.61E-05
-4.60E-05,-4.86E-05,-4.86E-05,-4.86E-05,-4.86E-05,,,,,-4.60E-05
-4.58E-05,-4.84E-05,-4.84E-05,-4.84E-05,-4.84E-05,,,,,-4.58E-05
-4.57E-05,-4.82E-05,-4.82E-05,-4.82E-05,-4.82E-05,,,,,-4.57E-05
-4.55E-05,-4.81E-05,-4.81E-05,-4.81E-05,-4.81E-05,,,,,-4.55E-05
-4.54E-05,-4.79E-05,-4.79E-05,-4.79E-05,-4.79E-05,,,,,-4.54E-05
-4.52E-05,-4.78E-05,-4.77E-05,-4.78E-05,-4.77E-05,,,,,-4.52E-05
-4.51E-05,-4.76E-05,-4.76E-05,-4.76E-05,-4.76E-05,,,,,-4.51E-05
-4.49E-05,-4.74E-05,-4.74E-05,-4.74E-05,-4.74E-05,,,,,-4.49E-05
-4.48E-05,-4.73E-05,-4.73E-05,-4.73E-05,-4.73E-05,,,,,-4.48E-05
-4.46E-05,-4.71E-05,-4.71E-05,-4.71E-05,-4.71E-05,,,,,-4.46E-05
-4.45E-05,-4.69E-05,-4.69E-05,-4.69E-05,-4.69E-05,,,,,-4.45E-05
-4.43E-05,-4.68E-05,-4.68E-05,-4.68E-05,-4.68E-05,,,,,-4.43E-05
-4.42E-05,-4.66E-05,-4.66E-05,-4.66E-05,-4.66E-05,,,,,-4.42E-05
-4.40E-05,-4.65E-05,-4.65E-05,-4.65E-05,-4.65E-05,,,,,-4.40E-05
-4.39E-05,-4.63E-05,-4.63E-05,-4.63E-05,-4.63E-05,,,,,-4.39E-05
-4.37E-05,-4.62E-05,-4.62E-05,-4.62E-05,-4.62E-05,,,,,-4.37E-05
-4.36E-05,-4.60E-05,-4.60E-05,-4.60E-05,-4.60E-05,,,,,-4.36E-05
-4.34E-05,-4.58E-05,-4.58E-05,-4.58E-05,-4.58E-05,,,,,-4.34E-05
-4.33E-05,-4.57E-05,-4.57E-05,-4.57E-05,-4.57E-05,,,,,-4.33E-05
-4.31E-05,-4.55E-05,-4.55E-05,-4.55E-05,-4.55E-05,,,,,-4.31E-05
-4.30E-05,-4.54E-05,-4.54E-05,-4.54E-05,-4.54E-05,,,,,-4.30E-05
-4.28E-05,-4.52E-05,-4.52E-05,-4.52E-05,-4.52E-05,,,,,-4.28E-05
-4.27E-05,-4.50E-05,-4.50E-05,-4.50E-05,-4.50E-05,,,,,-4.27E-05
-4.25E-05,-4.49E-05,-4.49E-05,-4.49E-05,-4.49E-05,,,,,-4.25E-05
-4.23E-05,-4.47E-05,-4.47E-05,-4.47E-05,-4.47E-05,,,,,-4.23E-05
-4.22E-05,-4.46E-05,-4.46E-05,-4.46E-05,-4.46E-05,,,,,-4.22E-05
-4.20E-05,-4.44E-05,-4.44E-05,-4.44E-05,-4.44E-05,,,,,-4.20E-05
-4.19E-05,-4.42E-05,-4.42E-05,-4.42E-05,-4.42E-05,,,,,-4.19E-05
-4.17E-05,-4.41E-05,-4.41E-05,-4.41E-05,-4.41E-05,,,,,-4.17E-05
-4.16E-05,-4.39E-05,-4.39E-05,-4.39E-05,-4.39E-05,,,,,-4.16E-05
-4.14E-05,-4.38E-05,-4.37E-05,-4.38E-05,-4.37E-05,,,,,-4.14E-05
-4.13E-05,-4.36E-05,-4.36E-05,-4.36E-05,-4.36E-05,,,,,-4.13E-05
-4.11E-05,-4.34E-05,-4.34E-05,-4.34E-05,-4.34E-05,,,,,-4.11E-05
-4.10E-05,-4.33E-05,-4.33E-05,-4.33E-05,-4.33E-05,,,,,-4.10E-05
-4.08E-05,-4.31E-05,-4.31E-05,-4.31E-05,-4.31E-05,,,,,-4.08E-05
-4.07E-05,-4.30E-05,-4.30E-05,-4.30E-05,-4.30E-05,,,,,-4.07E-05
-4.05E-05,-4.28E-05,-4.28E-05,-4.28E-05,-4.28E-05,,,,,-4.05E-05
-4.04E-05,-4.26E-05,-4.26E-05,-4.26E-05,-4.26E-05,,,,,-4.04E-05
-4.02E-05,-4.25E-05,-4.25E-05,-4.25E-05,-4.25E-05,,,,,-4.02E-05
-4.01E-05,-4.23E-05,-4.23E-05,-4.23E-05,-4.23E-05,,,,,-4.01E-05
