timestamp,I,V
22:09:47:43:765,6.90196E-07,-0.599886
22:09:47:43:767,6.12497E-07,-0.59791
22:09:47:43:782,5.63497E-07,-0.595934
22:09:47:43:782,5.44597E-07,-0.593959
22:09:47:43:797,5.27097E-07,-0.591983
22:09:47:43:812,5.15197E-07,-0.590007
22:09:47:43:813,5.16597E-07,-0.588031
22:09:47:43:829,5.08897E-07,-0.586055
22:09:47:43:845,5.06797E-07,-0.584079
22:09:47:43:846,4.99797E-07,-0.582103
22:09:47:43:861,4.98397E-07,-0.580127
22:09:47:43:863,4.97697E-07,-0.578151
22:09:47:43:881,5.01197E-07,-0.576175
22:09:47:43:893,4.93497E-07,-0.574199
22:09:47:43:896,4.98397E-07,-0.572223
22:09:47:43:909,4.92797E-07,-0.570248
22:09:47:43:927,4.89297E-07,-0.568272
22:09:47:43:935,4.89997E-07,-0.566296
22:09:47:43:942,4.93497E-07,-0.56432
22:09:47:43:947,4.88597E-07,-0.562344
22:09:47:43:957,4.82297E-07,-0.560368
22:09:47:43:973,4.89297E-07,-0.558392
22:09:47:43:977,4.80897E-07,-0.556416
22:09:47:43:989,4.89997E-07,-0.55444
22:09:47:44:004,4.86497E-07,-0.552464
22:09:47:44:005,4.88597E-07,-0.550488
22:09:47:44:020,4.78797E-07,-0.548513
22:09:47:44:021,4.82297E-07,-0.546537
22:09:47:44:037,4.77397E-07,-0.544561
22:09:47:44:052,4.80197E-07,-0.542585
22:09:47:44:053,4.80197E-07,-0.540609
22:09:47:44:068,4.75997E-07,-0.538633
22:09:47:44:084,4.77397E-07,-0.536657
22:09:47:44:091,4.78097E-07,-0.534681
22:09:47:44:105,4.76697E-07,-0.532705
22:09:47:44:113,4.75297E-07,-0.530729
22:09:47:44:116,4.80897E-07,-0.528753
22:09:47:44:132,4.77397E-07,-0.526778
22:09:47:44:135,4.76697E-07,-0.524802
22:09:47:44:149,4.71097E-07,-0.522826
22:09:47:44:150,4.81597E-07,-0.52085
22:09:47:44:164,4.77397E-07,-0.518874
22:09:47:44:181,4.76697E-07,-0.516898
22:09:47:44:182,4.72497E-07,-0.514922
22:09:47:44:197,4.73197E-07,-0.512946
22:09:47:44:213,4.71797E-07,-0.51097
22:09:47:44:214,4.74597E-07,-0.508994
22:09:47:44:229,4.72497E-07,-0.507018
22:09:47:44:231,4.66197E-07,-0.505042
22:09:47:44:245,4.73897E-07,-0.503067
22:09:47:44:261,4.68997E-07,-0.501091
22:09:47:44:264,4.71097E-07,-0.499115
22:09:47:44:279,4.71797E-07,-0.497139
22:09:47:44:293,4.71097E-07,-0.495163
22:09:47:44:296,4.76697E-07,-0.493187
22:09:47:44:309,4.67597E-07,-0.491211
22:09:47:44:310,4.66897E-07,-0.489235
22:09:47:44:325,4.66197E-07,-0.487259
22:09:47:44:341,4.62697E-07,-0.485283
22:09:47:44:342,4.64797E-07,-0.483307
22:09:47:44:357,4.68297E-07,-0.481332
22:09:47:44:372,4.64797E-07,-0.479356
22:09:47:44:374,4.70397E-07,-0.47738
22:09:47:44:389,4.66197E-07,-0.475404
22:09:47:44:392,4.71797E-07,-0.473428
22:09:47:44:404,4.69697E-07,-0.471452
22:09:47:44:421,4.64797E-07,-0.469476
22:09:47:44:426,4.62697E-07,-0.4675
22:09:47:44:437,4.65497E-07,-0.465524
22:09:47:44:453,4.64097E-07,-0.463548
22:09:47:44:455,4.61997E-07,-0.461572
22:09:47:44:468,4.56397E-07,-0.459597
22:09:47:44:469,4.63397E-07,-0.457621
22:09:47:44:485,4.64797E-07,-0.455645
22:09:47:44:501,4.63397E-07,-0.453669
22:09:47:44:502,4.57097E-07,-0.451693
22:09:47:44:517,4.68297E-07,-0.449717
22:09:47:44:534,4.66197E-07,-0.447741
22:09:47:44:537,4.64097E-07,-0.445765
22:09:47:44:548,4.69697E-07,-0.443789
22:09:47:44:550,4.70397E-07,-0.441813
22:09:47:44:565,4.68997E-07,-0.439837
22:09:47:44:581,4.67597E-07,-0.437861
22:09:47:44:582,4.73197E-07,-0.435886
22:09:47:44:599,4.71797E-07,-0.43391
22:09:47:44:612,4.73897E-07,-0.431934
22:09:47:44:615,4.74597E-07,-0.429958
22:09:47:44:629,4.79497E-07,-0.427982
22:09:47:44:631,4.74597E-07,-0.426006
22:09:47:44:645,4.80897E-07,-0.42403
22:09:47:44:661,4.80897E-07,-0.422054
22:09:47:44:664,4.80897E-07,-0.420078
