timestamp,I,V
22:10:21:46:837,1.124194E-06,-0.599886
22:10:21:46:853,9.74395E-07,-0.59791
22:10:21:46:870,8.89696E-07,-0.595934
22:10:21:46:872,8.51196E-07,-0.593959
22:10:21:46:886,8.26696E-07,-0.591983
22:10:21:46:901,8.22496E-07,-0.590007
22:10:21:46:903,8.04996E-07,-0.588031
22:10:21:46:917,8.04296E-07,-0.586055
22:10:21:46:918,7.92396E-07,-0.584079
22:10:21:46:933,7.85396E-07,-0.582103
22:10:21:46:949,7.86096E-07,-0.580127
22:10:21:46:950,7.90996E-07,-0.578151
22:10:21:46:966,7.74896E-07,-0.576175
22:10:21:46:981,7.82596E-07,-0.574199
22:10:21:46:982,7.77696E-07,-0.572223
22:10:21:46:996,7.76996E-07,-0.570248
22:10:21:47:001,7.72096E-07,-0.568272
22:10:21:47:013,7.68596E-07,-0.566296
22:10:21:47:030,7.72096E-07,-0.56432
22:10:21:47:032,7.64396E-07,-0.562344
22:10:21:47:045,7.60896E-07,-0.560368
22:10:21:47:061,7.76996E-07,-0.558392
22:10:21:47:064,7.66496E-07,-0.556416
22:10:21:47:077,7.60896E-07,-0.55444
22:10:21:47:078,7.55296E-07,-0.552464
22:10:21:47:093,7.62296E-07,-0.550488
22:10:21:47:108,7.55996E-07,-0.548513
22:10:21:47:110,7.58796E-07,-0.546537
22:10:21:47:125,7.59496E-07,-0.544561
22:10:21:47:140,7.59496E-07,-0.542585
22:10:21:47:142,7.62996E-07,-0.540609
22:10:21:47:157,7.57396E-07,-0.538633
22:10:21:47:159,7.59496E-07,-0.536657
22:10:21:47:173,7.51096E-07,-0.534681
22:10:21:47:190,7.54596E-07,-0.532705
22:10:21:47:191,7.50396E-07,-0.530729
22:10:21:47:205,7.54596E-07,-0.528753
22:10:21:47:220,7.55296E-07,-0.526778
22:10:21:47:223,7.52496E-07,-0.524802
22:10:21:47:237,7.46196E-07,-0.522826
22:10:21:47:238,7.48996E-07,-0.52085
22:10:21:47:253,7.46196E-07,-0.518874
22:10:21:47:270,7.44796E-07,-0.516898
22:10:21:47:271,7.39896E-07,-0.514922
22:10:21:47:286,7.42696E-07,-0.512946
22:10:21:47:301,7.38496E-07,-0.51097
22:10:21:47:302,7.41996E-07,-0.508994
22:10:21:47:318,7.44096E-07,-0.507018
22:10:21:47:320,7.41996E-07,-0.505042
22:10:21:47:334,7.39896E-07,-0.503067
22:10:21:47:350,7.41296E-07,-0.501091
22:10:21:47:352,7.39896E-07,-0.499115
22:10:21:47:366,7.38496E-07,-0.497139
22:10:21:47:380,7.35696E-07,-0.495163
22:10:21:47:383,7.41296E-07,-0.493187
22:10:21:47:397,7.34996E-07,-0.491211
22:10:21:47:398,7.30796E-07,-0.489235
22:10:21:47:412,7.29396E-07,-0.487259
22:10:21:47:428,7.39196E-07,-0.485283
22:10:21:47:430,7.34296E-07,-0.483307
22:10:21:47:446,7.30096E-07,-0.481332
22:10:21:47:460,7.30796E-07,-0.479356
22:10:21:47:461,7.32196E-07,-0.47738
22:10:21:47:478,7.40596E-07,-0.475404
22:10:21:47:481,7.35696E-07,-0.473428
22:10:21:47:493,7.34996E-07,-0.471452
22:10:21:47:509,7.32196E-07,-0.469476
22:10:21:47:511,7.42696E-07,-0.4675
22:10:21:47:525,7.34996E-07,-0.465524
22:10:21:47:526,7.32196E-07,-0.463548
22:10:21:47:541,7.39896E-07,-0.461572
22:10:21:47:557,7.35696E-07,-0.459597
22:10:21:47:558,7.39896E-07,-0.457621
22:10:21:47:572,7.47596E-07,-0.455645
22:10:21:47:589,7.40596E-07,-0.453669
22:10:21:47:590,7.46896E-07,-0.451693
22:10:21:47:605,7.44096E-07,-0.449717
22:10:21:47:607,7.48296E-07,-0.447741
22:10:21:47:621,7.46896E-07,-0.445765
22:10:21:47:638,7.51096E-07,-0.443789
22:10:21:47:640,7.51796E-07,-0.441813
22:10:21:47:653,7.55296E-07,-0.439837
22:10:21:47:669,7.62296E-07,-0.437861
22:10:21:47:671,7.66496E-07,-0.435886
22:10:21:47:686,7.75596E-07,-0.43391
22:10:21:47:686,7.73496E-07,-0.431934
22:10:21:47:701,7.83996E-07,-0.429958
22:10:21:47:718,7.81196E-07,-0.427982
22:10:21:47:718,7.97296E-07,-0.426006
22:10:21:47:734,8.02196E-07,-0.42403
22:10:21:47:750,8.10596E-07,-0.422054
22:10:21:47:751,8.16896E-07,-0.420078
22:10:21:47:766,8.23196E-07,-0.418102
22:10:21:47:769,8.39296E-07,-0.416126
22:10:21:47:782,8.44896E-07,-0.414151
22:10:21:47:797,8.53996E-07,-0.412175
22:10:21:47:801,8.63096E-07,-0.410199
22:10:21:47:813,8.77796E-07,-0.408223
22:10:21:47:830,8.96696E-07,-0.406247
22:10:21:47:832,9.17695E-07,-0.404271
22:10:21:47:846,9.23995E-07,-0.402295
22:10:21:47:846,9.38695E-07,-0.400319
22:10:21:47:861,9.55495E-07,-0.398343
22:10:21:47:877,9.70195E-07,-0.396367
22:10:21:47:878,9.92595E-07,-0.394391
22:10:21:47:892,1.010095E-06,-0.392416
22:10:21:47:909,1.026895E-06,-0.39044
22:10:21:47:910,1.047195E-06,-0.388464
22:10:21:47:924,1.068195E-06,-0.386488
22:10:21:47:927,1.093395E-06,-0.384512
22:10:21:47:941,1.112995E-06,-0.382536
22:10:21:47:957,1.139594E-06,-0.38056
22:10:21:47:959,1.171094E-06,-0.378584
22:10:21:47:973,1.192094E-06,-0.376608
22:10:21:47:989,1.220794E-06,-0.374632
22:10:21:47:991,1.245994E-06,-0.372656
22:10:21:48:005,1.267694E-06,-0.370681
22:10:21:48:006,1.287994E-06,-0.368705
22:10:21:48:021,1.316694E-06,-0.366729
22:10:21:48:038,1.336294E-06,-0.364753
22:10:21:48:039,1.354494E-06,-0.362777
22:10:21:48:053,1.372693E-06,-0.360801
22:10:21:48:069,1.393693E-06,-0.358825
22:10:21:48:070,1.398593E-06,-0.356849
22:10:21:48:085,1.401393E-06,-0.354873
22:10:21:48:087,1.409793E-06,-0.352897
22:10:21:48:101,1.421693E-06,-0.350921
22:10:21:48:118,1.414693E-06,-0.348945
22:10:21:48:120,1.414693E-06,-0.34697
22:10:21:48:133,1.409093E-06,-0.344994
22:10:21:48:149,1.399293E-06,-0.343018
22:10:21:48:153,1.384593E-06,-0.341042
22:10:21:48:165,1.381793E-06,-0.339066
22:10:21:48:166,1.356594E-06,-0.33709
22:10:21:48:181,1.348194E-06,-0.335114
22:10:21:48:198,1.328594E-06,-0.333138
22:10:21:48:199,1.307594E-06,-0.331162
22:10:21:48:214,1.286594E-06,-0.329186
22:10:21:48:229,1.266994E-06,-0.32721
22:10:21:48:231,1.249494E-06,-0.325235
22:10:21:48:246,1.213094E-06,-0.323259
22:10:21:48:249,1.199094E-06,-0.321283
22:10:21:48:262,1.173194E-06,-0.319307
22:10:21:48:278,1.156394E-06,-0.317331
22:10:21:48:281,1.119995E-06,-0.315355
22:10:21:48:293,1.098995E-06,-0.313379
22:10:21:48:309,1.077995E-06,-0.311403
22:10:21:48:312,1.056295E-06,-0.309427
22:10:21:48:326,1.027595E-06,-0.307451
22:10:21:48:327,1.007995E-06,-0.305475
22:10:21:48:342,9.91895E-07,-0.3035
22:10:21:48:357,9.70895E-07,-0.301524
22:10:21:48:358,9.42895E-07,-0.299548
22:10:21:48:372,9.30295E-07,-0.297572
22:10:21:48:388,9.09995E-07,-0.295596
22:10:21:48:389,8.91796E-07,-0.29362
22:10:21:48:404,8.82696E-07,-0.291644
22:10:21:48:407,8.63096E-07,-0.289668
22:10:21:48:421,8.47696E-07,-0.287692
22:10:21:48:437,8.36496E-07,-0.285716
22:10:21:48:439,8.29496E-07,-0.28374
22:10:21:48:453,8.21096E-07,-0.281765
22:10:21:48:468,8.09896E-07,-0.279789
22:10:21:48:471,7.97996E-07,-0.277813
22:10:21:48:485,7.83996E-07,-0.275837
22:10:21:48:486,7.76296E-07,-0.273861
22:10:21:48:502,7.74196E-07,-0.271885
22:10:21:48:517,7.62996E-07,-0.269909
22:10:21:48:518,7.45496E-07,-0.267933
22:10:21:48:534,7.51796E-07,-0.265957
22:10:21:48:537,7.45496E-07,-0.263981
22:10:21:48:549,7.41996E-07,-0.262005
22:10:21:48:565,7.34296E-07,-0.260029
22:10:21:48:568,7.36396E-07,-0.258054
22:10:21:48:581,7.25896E-07,-0.256078
22:10:21:48:598,7.22396E-07,-0.254102
22:10:21:48:600,7.20296E-07,-0.252126
22:10:21:48:614,7.16096E-07,-0.25015
22:10:21:48:615,7.17496E-07,-0.248174
22:10:21:48:630,7.16096E-07,-0.246198
22:10:21:48:646,7.11196E-07,-0.244222
22:10:21:48:647,7.11196E-07,-0.242246
22:10:21:48:661,7.09796E-07,-0.24027
22:10:21:48:677,7.04196E-07,-0.238294
22:10:21:48:678,7.05596E-07,-0.236319
22:10:21:48:693,7.00696E-07,-0.234343
22:10:21:48:696,7.02096E-07,-0.232367
22:10:21:48:710,7.02796E-07,-0.230391
22:10:21:48:725,6.97196E-07,-0.228415
22:10:21:48:727,7.02096E-07,-0.226439
22:10:21:48:741,6.95796E-07,-0.224463
22:10:21:48:758,6.96496E-07,-0.222487
22:10:21:48:759,6.95096E-07,-0.220511
22:10:21:48:774,6.92996E-07,-0.218535
22:10:21:48:774,6.87396E-07,-0.216559
22:10:21:48:790,6.98596E-07,-0.214583
22:10:21:48:806,6.95096E-07,-0.212608
22:10:21:48:807,6.88096E-07,-0.210632
22:10:21:48:823,6.92996E-07,-0.208656
22:10:21:48:841,6.91596E-07,-0.20668
22:10:21:48:842,6.85996E-07,-0.204704
22:10:21:48:857,6.92296E-07,-0.202728
22:10:21:48:859,6.91596E-07,-0.200752
22:10:21:48:870,6.92996E-07,-0.198776
22:10:21:48:886,6.90896E-07,-0.1968
22:10:21:48:888,6.90896E-07,-0.194824
22:10:21:48:902,6.91596E-07,-0.192848
22:10:21:48:918,6.88796E-07,-0.190873
22:10:21:48:920,6.88796E-07,-0.188897
22:10:21:48:934,6.88096E-07,-0.186921
22:10:21:48:935,6.89496E-07,-0.184945
22:10:21:48:950,6.85996E-07,-0.182969
22:10:21:48:966,6.86696E-07,-0.180993
22:10:21:48:967,6.86696E-07,-0.179017
22:10:21:48:982,6.82496E-07,-0.177041
22:10:21:48:998,6.83897E-07,-0.175065
22:10:21:48:999,6.85996E-07,-0.173089
22:10:21:49:014,6.86696E-07,-0.171113
22:10:21:49:017,6.78996E-07,-0.169138
22:10:21:49:031,6.82496E-07,-0.167162
22:10:21:49:046,6.84596E-07,-0.165186
22:10:21:49:049,6.84596E-07,-0.16321
22:10:21:49:062,6.87396E-07,-0.161234
22:10:21:49:077,6.87396E-07,-0.159258
22:10:21:49:080,6.87396E-07,-0.157282
22:10:21:49:094,6.86696E-07,-0.155306
22:10:21:49:095,6.86696E-07,-0.15333
22:10:21:49:110,6.90196E-07,-0.151354
22:10:21:49:126,6.85996E-07,-0.149378
22:10:21:49:127,6.83897E-07,-0.147402
22:10:21:49:142,6.89496E-07,-0.145427
22:10:21:49:158,6.82496E-07,-0.143451
22:10:21:49:159,6.90896E-07,-0.141475
22:10:21:49:174,6.83897E-07,-0.139499
22:10:21:49:176,6.95096E-07,-0.137523
22:10:21:49:189,6.87396E-07,-0.135547
22:10:21:49:205,6.89496E-07,-0.133571
22:10:21:49:207,6.88096E-07,-0.131595
22:10:21:49:221,6.94396E-07,-0.129619
22:10:21:49:236,6.90896E-07,-0.127643
22:10:21:49:239,6.92996E-07,-0.125667
22:10:21:49:253,6.85996E-07,-0.123692
22:10:21:49:254,6.92296E-07,-0.121716
22:10:21:49:269,6.88096E-07,-0.11974
22:10:21:49:285,6.92296E-07,-0.117764
22:10:21:49:286,6.88096E-07,-0.115788
22:10:21:49:301,6.95796E-07,-0.113812
22:10:21:49:317,6.87396E-07,-0.111836
22:10:21:49:318,6.95096E-07,-0.10986
22:10:21:49:334,6.90196E-07,-0.107884
22:10:21:49:337,6.92996E-07,-0.105908
22:10:21:49:350,6.92996E-07,-0.103932
22:10:21:49:366,6.89496E-07,-0.101957
