timestamp,I,V
22:10:19:01:985,1.049995E-06,-0.599886
22:10:19:01:987,9.23295E-07,-0.59791
22:10:19:02:001,8.53296E-07,-0.595934
22:10:19:02:002,8.25296E-07,-0.593959
22:10:19:02:017,7.97296E-07,-0.591983
22:10:19:02:033,7.84696E-07,-0.590007
22:10:19:02:035,7.79796E-07,-0.588031
22:10:19:02:049,7.72096E-07,-0.586055
22:10:19:02:064,7.72096E-07,-0.584079
22:10:19:02:066,7.63696E-07,-0.582103
22:10:19:02:081,7.57396E-07,-0.580127
22:10:19:02:083,7.65096E-07,-0.578151
22:10:19:02:096,7.56696E-07,-0.576175
22:10:19:02:113,7.51096E-07,-0.574199
22:10:19:02:115,7.46896E-07,-0.572223
22:10:19:02:129,7.48996E-07,-0.570248
22:10:19:02:144,7.48996E-07,-0.568272
22:10:19:02:147,7.44796E-07,-0.566296
22:10:19:02:161,7.44796E-07,-0.56432
22:10:19:02:163,7.45496E-07,-0.562344
22:10:19:02:177,7.38496E-07,-0.560368
22:10:19:02:193,7.35696E-07,-0.558392
22:10:19:02:196,7.39196E-07,-0.556416
22:10:19:02:209,7.39896E-07,-0.55444
22:10:19:02:210,7.29396E-07,-0.552464
22:10:19:02:225,7.30796E-07,-0.550488
22:10:19:02:241,7.37096E-07,-0.548513
22:10:19:02:243,7.34296E-07,-0.546537
22:10:19:02:258,7.35696E-07,-0.544561
22:10:19:02:273,7.26596E-07,-0.542585
22:10:19:02:276,7.30796E-07,-0.540609
22:10:19:02:289,7.22396E-07,-0.538633
22:10:19:02:293,7.25896E-07,-0.536657
22:10:19:02:306,7.30796E-07,-0.534681
22:10:19:02:322,7.37796E-07,-0.532705
22:10:19:02:325,7.22396E-07,-0.530729
22:10:19:02:338,7.24496E-07,-0.528753
22:10:19:02:354,7.26596E-07,-0.526778
22:10:19:02:359,7.23096E-07,-0.524802
22:10:19:02:370,7.16096E-07,-0.522826
22:10:19:02:372,7.20296E-07,-0.52085
22:10:19:02:384,7.14696E-07,-0.518874
22:10:19:02:401,7.18896E-07,-0.516898
22:10:19:02:403,7.23796E-07,-0.514922
22:10:19:02:417,7.16796E-07,-0.512946
22:10:19:02:433,7.14696E-07,-0.51097
22:10:19:02:435,7.11896E-07,-0.508994
22:10:19:02:449,7.11896E-07,-0.507018
22:10:19:02:451,7.16096E-07,-0.505042
22:10:19:02:465,7.10496E-07,-0.503067
22:10:19:02:481,7.13296E-07,-0.501091
22:10:19:02:483,7.06996E-07,-0.499115
22:10:19:02:497,7.12596E-07,-0.497139
22:10:19:02:513,7.09096E-07,-0.495163
22:10:19:02:516,7.10496E-07,-0.493187
22:10:19:02:529,7.06296E-07,-0.491211
22:10:19:02:531,7.06296E-07,-0.489235
22:10:19:02:545,7.05596E-07,-0.487259
22:10:19:02:561,7.06296E-07,-0.485283
22:10:19:02:563,7.05596E-07,-0.483307
22:10:19:02:577,7.13296E-07,-0.481332
22:10:19:02:593,6.97896E-07,-0.479356
