timestamp,I,V
22:10:25:34:540,8.46996E-07,-0.599886
22:10:25:34:541,7.18196E-07,-0.59791
22:10:25:34:556,6.60797E-07,-0.595934
22:10:25:34:572,6.18797E-07,-0.593959
22:10:25:34:573,5.93597E-07,-0.591983
22:10:25:34:588,5.87997E-07,-0.590007
22:10:25:34:589,5.71197E-07,-0.588031
22:10:25:34:604,5.69797E-07,-0.586055
22:10:25:34:620,5.61397E-07,-0.584079
22:10:25:34:621,5.58597E-07,-0.582103
22:10:25:34:635,5.57897E-07,-0.580127
22:10:25:34:651,5.53697E-07,-0.578151
22:10:25:34:653,5.50897E-07,-0.576175
22:10:25:34:668,5.47397E-07,-0.574199
22:10:25:34:671,5.50197E-07,-0.572223
22:10:25:34:684,5.48097E-07,-0.570248
22:10:25:34:700,5.45997E-07,-0.568272
22:10:25:34:703,5.43897E-07,-0.566296
22:10:25:34:715,5.38997E-07,-0.56432
22:10:25:34:731,5.41797E-07,-0.562344
22:10:25:34:734,5.41797E-07,-0.560368
22:10:25:34:748,5.44597E-07,-0.558392
22:10:25:34:749,5.41097E-07,-0.556416
22:10:25:34:764,5.35497E-07,-0.55444
22:10:25:34:780,5.35497E-07,-0.552464
22:10:25:34:781,5.38297E-07,-0.550488
22:10:25:34:795,5.38997E-07,-0.548513
22:10:25:34:811,5.36197E-07,-0.546537
22:10:25:34:813,5.28497E-07,-0.544561
22:10:25:34:827,5.33397E-07,-0.542585
22:10:25:34:828,5.34097E-07,-0.540609
22:10:25:34:843,5.22897E-07,-0.538633
22:10:25:34:859,5.28497E-07,-0.536657
22:10:25:34:860,5.38997E-07,-0.534681
22:10:25:34:875,5.31997E-07,-0.532705
22:10:25:34:891,5.25697E-07,-0.530729
22:10:25:34:892,5.26397E-07,-0.528753
22:10:25:34:908,5.24297E-07,-0.526778
22:10:25:34:910,5.34097E-07,-0.524802
22:10:25:34:924,5.27797E-07,-0.522826
22:10:25:34:940,5.23597E-07,-0.52085
22:10:25:34:942,5.22897E-07,-0.518874
22:10:25:34:955,5.24997E-07,-0.516898
22:10:25:34:971,5.26397E-07,-0.514922
22:10:25:34:975,5.24997E-07,-0.512946
22:10:25:34:988,5.22197E-07,-0.51097
22:10:25:34:989,5.24297E-07,-0.508994
22:10:25:35:004,5.24297E-07,-0.507018
22:10:25:35:021,5.27097E-07,-0.505042
22:10:25:35:022,5.24297E-07,-0.503067
22:10:25:35:036,5.22897E-07,-0.501091
22:10:25:35:051,5.20097E-07,-0.499115
22:10:25:35:052,5.20097E-07,-0.497139
22:10:25:35:068,5.21497E-07,-0.495163
22:10:25:35:071,5.22897E-07,-0.493187
22:10:25:35:084,5.25697E-07,-0.491211
22:10:25:35:101,5.21497E-07,-0.489235
22:10:25:35:104,5.20797E-07,-0.487259
22:10:25:35:116,5.22897E-07,-0.485283
22:10:25:35:131,5.17997E-07,-0.483307
22:10:25:35:134,5.21497E-07,-0.481332
22:10:25:35:148,5.17997E-07,-0.479356
22:10:25:35:149,5.23597E-07,-0.47738
22:10:25:35:163,5.24997E-07,-0.475404
22:10:25:35:180,5.18697E-07,-0.473428
22:10:25:35:181,5.22197E-07,-0.471452
22:10:25:35:195,5.21497E-07,-0.469476
22:10:25:35:198,5.17997E-07,-0.4675
22:10:25:35:211,5.29897E-07,-0.465524
22:10:25:35:228,5.33397E-07,-0.463548
22:10:25:35:230,5.26397E-07,-0.461572
22:10:25:35:243,5.29197E-07,-0.459597
22:10:25:35:259,5.29897E-07,-0.457621
22:10:25:35:261,5.35497E-07,-0.455645
22:10:25:35:276,5.38997E-07,-0.453669
22:10:25:35:277,5.36197E-07,-0.451693
22:10:25:35:291,5.41097E-07,-0.449717
22:10:25:35:308,5.43197E-07,-0.447741
22:10:25:35:309,5.45997E-07,-0.445765
22:10:25:35:324,5.52997E-07,-0.443789
22:10:25:35:339,5.52997E-07,-0.441813
22:10:25:35:340,5.59997E-07,-0.439837
22:10:25:35:355,5.67697E-07,-0.437861
22:10:25:35:358,5.73297E-07,-0.435886
22:10:25:35:371,5.78197E-07,-0.43391
22:10:25:35:388,5.84497E-07,-0.431934
22:10:25:35:391,5.92197E-07,-0.429958
22:10:25:35:403,6.03397E-07,-0.427982
22:10:25:35:419,6.15997E-07,-0.426006
22:10:25:35:422,6.16697E-07,-0.42403
22:10:25:35:435,6.32097E-07,-0.422054
22:10:25:35:437,6.39797E-07,-0.420078
22:10:25:35:452,6.50297E-07,-0.418102
22:10:25:35:468,6.69197E-07,-0.416126
22:10:25:35:469,6.75497E-07,-0.414151
22:10:25:35:484,6.92296E-07,-0.412175
22:10:25:35:500,7.08396E-07,-0.410199
22:10:25:35:501,7.20996E-07,-0.408223
22:10:25:35:516,7.31496E-07,-0.406247
22:10:25:35:519,7.51096E-07,-0.404271
22:10:25:35:532,7.73496E-07,-0.402295
22:10:25:35:548,7.93796E-07,-0.400319
22:10:25:35:550,8.12696E-07,-0.398343
22:10:25:35:564,8.28096E-07,-0.396367
22:10:25:35:580,8.49796E-07,-0.394391
22:10:25:35:582,8.63796E-07,-0.392416
22:10:25:35:596,9.00195E-07,-0.39044
22:10:25:35:597,9.21195E-07,-0.388464
22:10:25:35:613,9.44295E-07,-0.386488
22:10:25:35:629,9.76495E-07,-0.384512
22:10:25:35:629,9.98895E-07,-0.382536
22:10:25:35:643,1.019195E-06,-0.38056
22:10:25:35:659,1.047195E-06,-0.378584
22:10:25:35:660,1.066095E-06,-0.376608
22:10:25:35:675,1.089195E-06,-0.374632
22:10:25:35:678,1.112295E-06,-0.372656
22:10:25:35:692,1.135394E-06,-0.370681
22:10:25:35:708,1.143094E-06,-0.368705
22:10:25:35:710,1.154995E-06,-0.366729
22:10:25:35:724,1.174594E-06,-0.364753
22:10:25:35:740,1.181594E-06,-0.362777
22:10:25:35:743,1.186494E-06,-0.360801
22:10:25:35:756,1.190694E-06,-0.358825
22:10:25:35:757,1.192794E-06,-0.356849
22:10:25:35:772,1.188594E-06,-0.354873
22:10:25:35:788,1.187894E-06,-0.352897
22:10:25:35:789,1.166894E-06,-0.350921
22:10:25:35:804,1.160594E-06,-0.348945
22:10:25:35:820,1.147994E-06,-0.34697
22:10:25:35:821,1.134694E-06,-0.344994
22:10:25:35:836,1.122095E-06,-0.343018
22:10:25:35:838,1.108095E-06,-0.341042
22:10:25:35:853,1.081495E-06,-0.339066
22:10:25:35:868,1.060495E-06,-0.33709
22:10:25:35:871,1.040195E-06,-0.335114
22:10:25:35:883,1.014295E-06,-0.333138
22:10:25:35:899,9.94695E-07,-0.331162
22:10:25:35:903,9.68095E-07,-0.329186
22:10:25:35:916,9.44995E-07,-0.32721
22:10:25:35:917,9.27495E-07,-0.325235
22:10:25:35:932,9.02995E-07,-0.323259
22:10:25:35:948,8.75696E-07,-0.321283
22:10:25:35:949,8.53996E-07,-0.319307
22:10:25:35:965,8.32996E-07,-0.317331
22:10:25:35:980,8.14096E-07,-0.315355
22:10:25:35:981,7.93796E-07,-0.313379
22:10:25:35:996,7.70696E-07,-0.311403
22:10:25:35:998,7.51096E-07,-0.309427
22:10:25:36:012,7.29396E-07,-0.307451
22:10:25:36:028,7.09096E-07,-0.305475
22:10:25:36:029,6.97896E-07,-0.3035
22:10:25:36:044,6.83197E-07,-0.301524
22:10:25:36:059,6.58697E-07,-0.299548
22:10:25:36:064,6.47497E-07,-0.297572
22:10:25:36:076,6.42597E-07,-0.295596
22:10:25:36:077,6.29997E-07,-0.29362
22:10:25:36:093,6.16697E-07,-0.291644
22:10:25:36:110,6.02697E-07,-0.289668
22:10:25:36:110,5.92197E-07,-0.287692
22:10:25:36:124,5.76797E-07,-0.285716
22:10:25:36:139,5.80997E-07,-0.28374
22:10:25:36:144,5.67697E-07,-0.281765
22:10:25:36:157,5.62097E-07,-0.279789
22:10:25:36:160,5.56497E-07,-0.277813
22:10:25:36:172,5.43897E-07,-0.275837
22:10:25:36:189,5.40397E-07,-0.273861
22:10:25:36:192,5.42497E-07,-0.271885
22:10:25:36:204,5.31997E-07,-0.269909
22:10:25:36:206,5.30597E-07,-0.267933
22:10:25:36:220,5.20097E-07,-0.265957
22:10:25:36:236,5.23597E-07,-0.263981
22:10:25:36:237,5.25697E-07,-0.262005
22:10:25:36:252,5.20797E-07,-0.260029
22:10:25:36:268,5.13097E-07,-0.258054
22:10:25:36:270,5.03997E-07,-0.256078
22:10:25:36:283,5.06097E-07,-0.254102
22:10:25:36:285,5.08197E-07,-0.252126
22:10:25:36:300,5.06097E-07,-0.25015
22:10:25:36:316,4.99097E-07,-0.248174
22:10:25:36:317,5.08197E-07,-0.246198
22:10:25:36:332,4.98397E-07,-0.244222
22:10:25:36:348,4.92097E-07,-0.242246
22:10:25:36:349,4.99797E-07,-0.24027
22:10:25:36:364,4.92797E-07,-0.238294
22:10:25:36:366,4.96997E-07,-0.236319
22:10:25:36:380,4.87897E-07,-0.234343
22:10:25:36:396,4.92097E-07,-0.232367
22:10:25:36:398,4.87197E-07,-0.230391
22:10:25:36:412,4.90697E-07,-0.228415
22:10:25:36:428,4.86497E-07,-0.226439
22:10:25:36:430,4.85797E-07,-0.224463
22:10:25:36:445,4.80897E-07,-0.222487
22:10:25:36:445,4.85797E-07,-0.220511
22:10:25:36:460,4.86497E-07,-0.218535
22:10:25:36:476,4.89297E-07,-0.216559
22:10:25:36:477,4.87897E-07,-0.214583
22:10:25:36:493,4.90697E-07,-0.212608
22:10:25:36:508,4.89297E-07,-0.210632
22:10:25:36:509,4.81597E-07,-0.208656
22:10:25:36:525,4.88597E-07,-0.20668
22:10:25:36:527,4.87897E-07,-0.204704
22:10:25:36:540,4.91397E-07,-0.202728
22:10:25:36:556,4.86497E-07,-0.200752
22:10:25:36:560,4.94197E-07,-0.198776
22:10:25:36:572,4.84397E-07,-0.1968
22:10:25:36:587,4.80197E-07,-0.194824
22:10:25:36:589,4.84397E-07,-0.192848
22:10:25:36:604,4.78797E-07,-0.190873
22:10:25:36:605,4.83697E-07,-0.188897
22:10:25:36:620,4.85797E-07,-0.186921
22:10:25:36:636,4.86497E-07,-0.184945
22:10:25:36:637,4.80897E-07,-0.182969
22:10:25:36:652,4.83697E-07,-0.180993
22:10:25:36:667,4.83697E-07,-0.179017
22:10:25:36:669,4.82997E-07,-0.177041
22:10:25:36:684,4.81597E-07,-0.175065
22:10:25:36:687,4.82997E-07,-0.173089
22:10:25:36:700,4.85097E-07,-0.171113
22:10:25:36:715,4.80197E-07,-0.169138
22:10:25:36:718,4.82997E-07,-0.167162
22:10:25:36:732,4.84397E-07,-0.165186
22:10:25:36:748,4.75997E-07,-0.16321
22:10:25:36:750,4.80897E-07,-0.161234
22:10:25:36:764,4.85097E-07,-0.159258
22:10:25:36:765,4.82297E-07,-0.157282
22:10:25:36:780,4.75297E-07,-0.155306
22:10:25:36:796,4.82297E-07,-0.15333
22:10:25:36:798,4.88597E-07,-0.151354
22:10:25:36:812,4.85097E-07,-0.149378
22:10:25:36:828,4.81597E-07,-0.147402
22:10:25:36:829,4.84397E-07,-0.145427
22:10:25:36:844,4.90697E-07,-0.143451
22:10:25:36:845,4.81597E-07,-0.141475
22:10:25:36:860,4.81597E-07,-0.139499
22:10:25:36:877,4.84397E-07,-0.137523
22:10:25:36:878,4.81597E-07,-0.135547
22:10:25:36:893,4.89297E-07,-0.133571
22:10:25:36:908,4.79497E-07,-0.131595
22:10:25:36:909,4.80897E-07,-0.129619
22:10:25:36:924,4.80197E-07,-0.127643
22:10:25:36:927,4.85797E-07,-0.125667
22:10:25:36:940,4.85097E-07,-0.123692
22:10:25:36:955,4.90697E-07,-0.121716
22:10:25:36:959,4.79497E-07,-0.11974
22:10:25:36:973,4.85797E-07,-0.117764
22:10:25:36:987,4.76697E-07,-0.115788
22:10:25:36:991,4.80897E-07,-0.113812
22:10:25:37:004,4.75297E-07,-0.111836
22:10:25:37:005,4.80897E-07,-0.10986
22:10:25:37:020,4.84397E-07,-0.107884
22:10:25:37:035,4.83697E-07,-0.105908
22:10:25:37:037,4.89297E-07,-0.103932
22:10:25:37:052,4.77397E-07,-0.101957
22:10:25:37:067,4.84397E-07,-0.099981112
22:10:25:37:068,4.80197E-07,-0.0980052
22:10:25:37:084,4.78797E-07,-0.096029288
22:10:25:37:087,4.85097E-07,-0.094053376
22:10:25:37:100,4.85097E-07,-0.092077464
22:10:25:37:115,4.86497E-07,-0.090101552
22:10:25:37:117,4.82297E-07,-0.088125648
22:10:25:37:132,4.85097E-07,-0.086149728
22:10:25:37:133,4.85097E-07,-0.084173824
22:10:25:37:148,4.84397E-07,-0.082197912
22:10:25:37:164,4.85797E-07,-0.080222
22:10:25:37:165,4.87897E-07,-0.078246088
