timestamp,I,V
22:10:21:56:119,1.126995E-06,-0.599886
22:10:21:56:134,9.71595E-07,-0.59791
22:10:21:56:150,8.91796E-07,-0.595934
22:10:21:56:152,8.58896E-07,-0.593959
22:10:21:56:166,8.29496E-07,-0.591983
22:10:21:56:181,8.18996E-07,-0.590007
22:10:21:56:183,8.02896E-07,-0.588031
22:10:21:56:198,8.02196E-07,-0.586055
22:10:21:56:199,7.99396E-07,-0.584079
22:10:21:56:214,7.92396E-07,-0.582103
22:10:21:56:230,7.88196E-07,-0.580127
22:10:21:56:231,7.87496E-07,-0.578151
22:10:21:56:246,7.88196E-07,-0.576175
22:10:21:56:261,7.81196E-07,-0.574199
22:10:21:56:263,7.81896E-07,-0.572223
22:10:21:56:278,7.79096E-07,-0.570248
22:10:21:56:280,7.77696E-07,-0.568272
22:10:21:56:294,7.71396E-07,-0.566296
22:10:21:56:311,7.69996E-07,-0.56432
22:10:21:56:312,7.67896E-07,-0.562344
22:10:21:56:326,7.65096E-07,-0.560368
22:10:21:56:342,7.71396E-07,-0.558392
22:10:21:56:345,7.74896E-07,-0.556416
22:10:21:56:358,7.67896E-07,-0.55444
22:10:21:56:359,7.67196E-07,-0.552464
22:10:21:56:374,7.70696E-07,-0.550488
22:10:21:56:390,7.65796E-07,-0.548513
22:10:21:56:391,7.59496E-07,-0.546537
22:10:21:56:407,7.69296E-07,-0.544561
22:10:21:56:409,7.59496E-07,-0.542585
22:10:21:56:423,7.58096E-07,-0.540609
22:10:21:56:439,7.58096E-07,-0.538633
22:10:21:56:441,7.51796E-07,-0.536657
22:10:21:56:455,7.57396E-07,-0.534681
22:10:21:56:471,7.58096E-07,-0.532705
22:10:21:56:474,7.47596E-07,-0.530729
22:10:21:56:487,7.53896E-07,-0.528753
22:10:21:56:488,7.55996E-07,-0.526778
22:10:21:56:501,7.48996E-07,-0.524802
22:10:21:56:518,7.49696E-07,-0.522826
22:10:21:56:519,7.55296E-07,-0.52085
22:10:21:56:534,7.55296E-07,-0.518874
22:10:21:56:550,7.51096E-07,-0.516898
22:10:21:56:551,7.43396E-07,-0.514922
22:10:21:56:567,7.55296E-07,-0.512946
22:10:21:56:569,7.48296E-07,-0.51097
22:10:21:56:582,7.44796E-07,-0.508994
22:10:21:56:598,7.45496E-07,-0.507018
22:10:21:56:600,7.48996E-07,-0.505042
22:10:21:56:614,7.48996E-07,-0.503067
22:10:21:56:630,7.38496E-07,-0.501091
22:10:21:56:632,7.48296E-07,-0.499115
22:10:21:56:646,7.39196E-07,-0.497139
22:10:21:56:647,7.39896E-07,-0.495163
22:10:21:56:661,7.44796E-07,-0.493187
22:10:21:56:678,7.46196E-07,-0.491211
22:10:21:56:679,7.39196E-07,-0.489235
22:10:21:56:694,7.43396E-07,-0.487259
22:10:21:56:710,7.37796E-07,-0.485283
22:10:21:56:711,7.39896E-07,-0.483307
22:10:21:56:727,7.43396E-07,-0.481332
22:10:21:56:728,7.45496E-07,-0.479356
22:10:21:56:742,7.36396E-07,-0.47738
22:10:21:56:759,7.37796E-07,-0.475404
22:10:21:56:761,7.38496E-07,-0.473428
22:10:21:56:775,7.41296E-07,-0.471452
22:10:21:56:791,7.41296E-07,-0.469476
22:10:21:56:794,7.36396E-07,-0.4675
22:10:21:56:807,7.34296E-07,-0.465524
22:10:21:56:808,7.41996E-07,-0.463548
22:10:21:56:823,7.38496E-07,-0.461572
22:10:21:56:839,7.44796E-07,-0.459597
22:10:21:56:841,7.40596E-07,-0.457621
22:10:21:56:855,7.39196E-07,-0.455645
22:10:21:56:871,7.39196E-07,-0.453669
22:10:21:56:872,7.41296E-07,-0.451693
22:10:21:56:887,7.47596E-07,-0.449717
22:10:21:56:890,7.51096E-07,-0.447741
22:10:21:56:903,7.44796E-07,-0.445765
22:10:21:56:919,7.51096E-07,-0.443789
22:10:21:56:922,7.52496E-07,-0.441813
22:10:21:56:935,7.60896E-07,-0.439837
22:10:21:56:950,7.63696E-07,-0.437861
22:10:21:56:951,7.66496E-07,-0.435886
22:10:21:56:966,7.69996E-07,-0.43391
22:10:21:56:967,7.76996E-07,-0.431934
22:10:21:56:981,7.84696E-07,-0.429958
22:10:21:56:998,7.88896E-07,-0.427982
22:10:21:56:999,7.97996E-07,-0.426006
22:10:21:57:014,7.99396E-07,-0.42403
22:10:21:57:030,8.10596E-07,-0.422054
22:10:21:57:031,8.20396E-07,-0.420078
22:10:21:57:046,8.30196E-07,-0.418102
22:10:21:57:048,8.43496E-07,-0.416126
22:10:21:57:062,8.47696E-07,-0.414151
22:10:21:57:078,8.57496E-07,-0.412175
22:10:21:57:080,8.71496E-07,-0.410199
22:10:21:57:094,8.83396E-07,-0.408223
22:10:21:57:110,8.96696E-07,-0.406247
22:10:21:57:113,9.06495E-07,-0.404271
22:10:21:57:126,9.26095E-07,-0.402295
22:10:21:57:128,9.44295E-07,-0.400319
22:10:21:57:143,9.58295E-07,-0.398343
22:10:21:57:158,9.70895E-07,-0.396367
22:10:21:57:159,9.89095E-07,-0.394391
22:10:21:57:175,1.009395E-06,-0.392416
22:10:21:57:190,1.027595E-06,-0.39044
