timestamp,I,V
22:10:25:53:107,8.74296E-07,-0.599886
22:10:25:53:109,7.39196E-07,-0.59791
22:10:25:53:123,6.66397E-07,-0.595934
22:10:25:53:139,6.37697E-07,-0.593959
22:10:25:53:141,6.11797E-07,-0.591983
22:10:25:53:155,5.99897E-07,-0.590007
22:10:25:53:157,5.94997E-07,-0.588031
22:10:25:53:172,5.80997E-07,-0.586055
22:10:25:53:188,5.79597E-07,-0.584079
22:10:25:53:189,5.69097E-07,-0.582103
22:10:25:53:204,5.75397E-07,-0.580127
22:10:25:53:220,5.71897E-07,-0.578151
22:10:25:53:221,5.66997E-07,-0.576175
22:10:25:53:236,5.68397E-07,-0.574199
22:10:25:53:239,5.64197E-07,-0.572223
22:10:25:53:251,5.59297E-07,-0.570248
22:10:25:53:268,5.55097E-07,-0.568272
22:10:25:53:269,5.58597E-07,-0.566296
22:10:25:53:284,5.57897E-07,-0.56432
22:10:25:53:300,5.58597E-07,-0.562344
22:10:25:53:301,5.54397E-07,-0.560368
22:10:25:53:317,5.58597E-07,-0.558392
22:10:25:53:319,5.51597E-07,-0.556416
22:10:25:53:332,5.52297E-07,-0.55444
22:10:25:53:348,5.50197E-07,-0.552464
22:10:25:53:350,5.53697E-07,-0.550488
22:10:25:53:364,5.50897E-07,-0.548513
22:10:25:53:379,5.51597E-07,-0.546537
22:10:25:53:382,5.45997E-07,-0.544561
22:10:25:53:397,5.43897E-07,-0.542585
22:10:25:53:398,5.45297E-07,-0.540609
22:10:25:53:413,5.50897E-07,-0.538633
22:10:25:53:427,5.50897E-07,-0.536657
22:10:25:53:428,5.44597E-07,-0.534681
22:10:25:53:443,5.36897E-07,-0.532705
22:10:25:53:458,5.41097E-07,-0.530729
22:10:25:53:459,5.40397E-07,-0.528753
22:10:25:53:476,5.45297E-07,-0.526778
22:10:25:53:478,5.45997E-07,-0.524802
22:10:25:53:492,5.45997E-07,-0.522826
22:10:25:53:508,5.41797E-07,-0.52085
22:10:25:53:511,5.41797E-07,-0.518874
22:10:25:53:523,5.34097E-07,-0.516898
22:10:25:53:539,5.37597E-07,-0.514922
22:10:25:53:542,5.34797E-07,-0.512946
22:10:25:53:556,5.41797E-07,-0.51097
22:10:25:53:557,5.36897E-07,-0.508994
22:10:25:53:572,5.39697E-07,-0.507018
22:10:25:53:588,5.32697E-07,-0.505042
22:10:25:53:589,5.34097E-07,-0.503067
22:10:25:53:604,5.31997E-07,-0.501091
22:10:25:53:607,5.35497E-07,-0.499115
22:10:25:53:620,5.35497E-07,-0.497139
22:10:25:53:635,5.40397E-07,-0.495163
22:10:25:53:639,5.31997E-07,-0.493187
22:10:25:53:652,5.31297E-07,-0.491211
22:10:25:53:668,5.36197E-07,-0.489235
22:10:25:53:672,5.41097E-07,-0.487259
22:10:25:53:684,5.38997E-07,-0.485283
22:10:25:53:685,5.28497E-07,-0.483307
22:10:25:53:700,5.36197E-07,-0.481332
22:10:25:53:716,5.40397E-07,-0.479356
22:10:25:53:717,5.33397E-07,-0.47738
22:10:25:53:732,5.31297E-07,-0.475404
22:10:25:53:748,5.36897E-07,-0.473428
22:10:25:53:749,5.38997E-07,-0.471452
22:10:25:53:764,5.35497E-07,-0.469476
22:10:25:53:766,5.38297E-07,-0.4675
22:10:25:53:780,5.36897E-07,-0.465524
22:10:25:53:795,5.40397E-07,-0.463548
22:10:25:53:797,5.41797E-07,-0.461572
22:10:25:53:811,5.50897E-07,-0.459597
22:10:25:53:827,5.43197E-07,-0.457621
22:10:25:53:829,5.47397E-07,-0.455645
22:10:25:53:844,5.49497E-07,-0.453669
22:10:25:53:845,5.55797E-07,-0.451693
22:10:25:53:860,5.47397E-07,-0.449717
22:10:25:53:876,5.54397E-07,-0.447741
22:10:25:53:877,5.55097E-07,-0.445765
22:10:25:53:892,5.66997E-07,-0.443789
22:10:25:53:908,5.69797E-07,-0.441813
22:10:25:53:909,5.76797E-07,-0.439837
22:10:25:53:924,5.85197E-07,-0.437861
22:10:25:53:927,5.87997E-07,-0.435886
22:10:25:53:941,5.91497E-07,-0.43391
22:10:25:53:956,5.97797E-07,-0.431934
22:10:25:53:958,6.11797E-07,-0.429958
22:10:25:53:972,6.18797E-07,-0.427982
22:10:25:53:988,6.14597E-07,-0.426006
22:10:25:53:992,6.32097E-07,-0.42403
22:10:25:54:004,6.44697E-07,-0.422054
22:10:25:54:006,6.57297E-07,-0.420078
22:10:25:54:020,6.67097E-07,-0.418102
22:10:25:54:036,6.80396E-07,-0.416126
22:10:25:54:038,6.90196E-07,-0.414151
22:10:25:54:052,7.03496E-07,-0.412175
22:10:25:54:068,7.20996E-07,-0.410199
22:10:25:54:069,7.30796E-07,-0.408223
22:10:25:54:084,7.48996E-07,-0.406247
22:10:25:54:086,7.71396E-07,-0.404271
22:10:25:54:101,7.83996E-07,-0.402295
22:10:25:54:117,8.04296E-07,-0.400319
22:10:25:54:119,8.29496E-07,-0.398343
22:10:25:54:132,8.44196E-07,-0.396367
22:10:25:54:148,8.68696E-07,-0.394391
22:10:25:54:150,8.82696E-07,-0.392416
22:10:25:54:164,9.16995E-07,-0.39044
22:10:25:54:165,9.37295E-07,-0.388464
22:10:25:54:179,9.63195E-07,-0.386488
22:10:25:54:195,9.94695E-07,-0.384512
22:10:25:54:196,1.013595E-06,-0.382536
22:10:25:54:212,1.038095E-06,-0.38056
22:10:25:54:227,1.070295E-06,-0.378584
22:10:25:54:228,1.093395E-06,-0.376608
22:10:25:54:244,1.110195E-06,-0.374632
22:10:25:54:246,1.134695E-06,-0.372656
22:10:25:54:259,1.155694E-06,-0.370681
22:10:25:54:276,1.172494E-06,-0.368705
22:10:25:54:278,1.181594E-06,-0.366729
22:10:25:54:292,1.193494E-06,-0.364753
22:10:25:54:307,1.203294E-06,-0.362777
22:10:25:54:310,1.210994E-06,-0.360801
22:10:25:54:324,1.222894E-06,-0.358825
22:10:25:54:325,1.222194E-06,-0.356849
22:10:25:54:340,1.217294E-06,-0.354873
22:10:25:54:356,1.215194E-06,-0.352897
22:10:25:54:358,1.199794E-06,-0.350921
22:10:25:54:372,1.194894E-06,-0.348945
22:10:25:54:387,1.180894E-06,-0.34697
22:10:25:54:389,1.168294E-06,-0.344994
22:10:25:54:404,1.153594E-06,-0.343018
22:10:25:54:407,1.131195E-06,-0.341042
22:10:25:54:419,1.110895E-06,-0.339066
22:10:25:54:436,1.094795E-06,-0.33709
22:10:25:54:439,1.068895E-06,-0.335114
22:10:25:54:452,1.045095E-06,-0.333138
22:10:25:54:467,1.022695E-06,-0.331162
22:10:25:54:470,1.003095E-06,-0.329186
22:10:25:54:483,9.79995E-07,-0.32721
22:10:25:54:485,9.51995E-07,-0.325235
22:10:25:54:500,9.21195E-07,-0.323259
22:10:25:54:516,9.05095E-07,-0.321283
22:10:25:54:518,8.85496E-07,-0.319307
22:10:25:54:532,8.61696E-07,-0.317331
22:10:25:54:547,8.34396E-07,-0.315355
22:10:25:54:549,8.16196E-07,-0.313379
22:10:25:54:564,7.94496E-07,-0.311403
22:10:25:54:565,7.71396E-07,-0.309427
22:10:25:54:580,7.54596E-07,-0.307451
22:10:25:54:596,7.37796E-07,-0.305475
22:10:25:54:597,7.18196E-07,-0.3035
22:10:25:54:612,7.02796E-07,-0.301524
22:10:25:54:614,6.81097E-07,-0.299548
22:10:25:54:628,6.71997E-07,-0.297572
22:10:25:54:645,6.56597E-07,-0.295596
22:10:25:54:647,6.50297E-07,-0.29362
22:10:25:54:660,6.31397E-07,-0.291644
22:10:25:54:677,6.28597E-07,-0.289668
22:10:25:54:679,6.15297E-07,-0.287692
22:10:25:54:692,6.03397E-07,-0.285716
22:10:25:54:694,5.99897E-07,-0.28374
22:10:25:54:708,5.83797E-07,-0.281765
22:10:25:54:724,5.81697E-07,-0.279789
22:10:25:54:726,5.72597E-07,-0.277813
22:10:25:54:740,5.64897E-07,-0.275837
22:10:25:54:756,5.63497E-07,-0.273861
22:10:25:54:758,5.59997E-07,-0.271885
22:10:25:54:772,5.54397E-07,-0.269909
22:10:25:54:775,5.50197E-07,-0.267933
22:10:25:54:789,5.43197E-07,-0.265957
22:10:25:54:805,5.35497E-07,-0.263981
22:10:25:54:809,5.38997E-07,-0.262005
22:10:25:54:820,5.27097E-07,-0.260029
22:10:25:54:836,5.23597E-07,-0.258054
22:10:25:54:839,5.20797E-07,-0.256078
22:10:25:54:853,5.23597E-07,-0.254102
22:10:25:54:854,5.23597E-07,-0.252126
22:10:25:54:868,5.17297E-07,-0.25015
22:10:25:54:884,5.18697E-07,-0.248174
22:10:25:54:885,5.19397E-07,-0.246198
22:10:25:54:900,5.20097E-07,-0.244222
22:10:25:54:916,5.10297E-07,-0.242246
22:10:25:54:916,5.18697E-07,-0.24027
22:10:25:54:931,5.12397E-07,-0.238294
22:10:25:54:934,5.10297E-07,-0.236319
22:10:25:54:948,5.10297E-07,-0.234343
22:10:25:54:964,5.06097E-07,-0.232367
22:10:25:54:966,5.13797E-07,-0.230391
22:10:25:54:980,4.99097E-07,-0.228415
22:10:25:54:995,5.03297E-07,-0.226439
22:10:25:54:997,5.03297E-07,-0.224463
22:10:25:55:012,5.04697E-07,-0.222487
22:10:25:55:013,5.01197E-07,-0.220511
22:10:25:55:028,5.01197E-07,-0.218535
22:10:25:55:045,4.98397E-07,-0.216559
22:10:25:55:046,5.01897E-07,-0.214583
22:10:25:55:061,5.01197E-07,-0.212608
22:10:25:55:076,5.02597E-07,-0.210632
22:10:25:55:077,4.99097E-07,-0.208656
22:10:25:55:093,5.02597E-07,-0.20668
22:10:25:55:096,4.98397E-07,-0.204704
22:10:25:55:109,4.99797E-07,-0.202728
22:10:25:55:125,4.98397E-07,-0.200752
22:10:25:55:128,4.96297E-07,-0.198776
22:10:25:55:141,5.04697E-07,-0.1968
22:10:25:55:157,5.00497E-07,-0.194824
22:10:25:55:160,4.99797E-07,-0.192848
22:10:25:55:173,4.96997E-07,-0.190873
22:10:25:55:174,4.93497E-07,-0.188897
22:10:25:55:189,5.01897E-07,-0.186921
22:10:25:55:204,5.02597E-07,-0.184945
22:10:25:55:205,5.00497E-07,-0.182969
22:10:25:55:220,4.99797E-07,-0.180993
22:10:25:55:236,5.06097E-07,-0.179017
22:10:25:55:237,4.94197E-07,-0.177041
22:10:25:55:252,4.93497E-07,-0.175065
22:10:25:55:255,4.89997E-07,-0.173089
22:10:25:55:268,4.96297E-07,-0.171113
22:10:25:55:284,4.93497E-07,-0.169138
22:10:25:55:286,4.99797E-07,-0.167162
22:10:25:55:300,5.00497E-07,-0.165186
22:10:25:55:315,5.00497E-07,-0.16321
22:10:25:55:318,4.96997E-07,-0.161234
22:10:25:55:332,4.99797E-07,-0.159258
22:10:25:55:333,4.95597E-07,-0.157282
22:10:25:55:348,5.03997E-07,-0.155306
22:10:25:55:364,4.94197E-07,-0.15333
22:10:25:55:365,4.98397E-07,-0.151354
22:10:25:55:379,4.97697E-07,-0.149378
22:10:25:55:395,4.96297E-07,-0.147402
22:10:25:55:396,5.01197E-07,-0.145427
22:10:25:55:412,5.03297E-07,-0.143451
22:10:25:55:414,4.92097E-07,-0.141475
22:10:25:55:428,4.99097E-07,-0.139499
22:10:25:55:445,5.01897E-07,-0.137523
22:10:25:55:447,4.94897E-07,-0.135547
22:10:25:55:460,5.03297E-07,-0.133571
22:10:25:55:475,4.97697E-07,-0.131595
22:10:25:55:479,4.94197E-07,-0.129619
22:10:25:55:492,4.96297E-07,-0.127643
22:10:25:55:493,4.95597E-07,-0.125667
22:10:25:55:509,4.96297E-07,-0.123692
22:10:25:55:525,4.99797E-07,-0.121716
22:10:25:55:526,4.99097E-07,-0.11974
22:10:25:55:540,4.89997E-07,-0.117764
22:10:25:55:555,4.97697E-07,-0.115788
22:10:25:55:557,4.97697E-07,-0.113812
22:10:25:55:573,4.96997E-07,-0.111836
22:10:25:55:576,4.93497E-07,-0.10986
22:10:25:55:589,4.96297E-07,-0.107884
22:10:25:55:604,4.99097E-07,-0.105908
22:10:25:55:607,4.99097E-07,-0.103932
22:10:25:55:620,4.95597E-07,-0.101957
22:10:25:55:622,4.96997E-07,-0.099981112
22:10:25:55:637,5.00497E-07,-0.0980052
22:10:25:55:653,5.01897E-07,-0.096029288
22:10:25:55:654,4.97697E-07,-0.094053376
22:10:25:55:669,4.97697E-07,-0.092077464
22:10:25:55:685,4.89297E-07,-0.090101552
22:10:25:55:686,4.96997E-07,-0.088125648
22:10:25:55:701,4.99097E-07,-0.086149728
22:10:25:55:703,4.91397E-07,-0.084173824
22:10:25:55:717,4.95597E-07,-0.082197912
22:10:25:55:732,5.01197E-07,-0.080222
22:10:25:55:734,4.98397E-07,-0.078246088
22:10:25:55:748,5.01897E-07,-0.076270168
22:10:25:55:764,4.94897E-07,-0.074294264
22:10:25:55:765,4.94897E-07,-0.072318352
22:10:25:55:780,5.03997E-07,-0.07034244
22:10:25:55:782,4.99097E-07,-0.068366528
22:10:25:55:796,4.96997E-07,-0.06639062
22:10:25:55:812,5.02597E-07,-0.064414704
22:10:25:55:814,5.06797E-07,-0.062438796
22:10:25:55:828,4.98397E-07,-0.060462884
22:10:25:55:845,5.03297E-07,-0.058486976
22:10:25:55:847,5.00497E-07,-0.056511064
22:10:25:55:860,5.02597E-07,-0.054535148
22:10:25:55:861,4.99797E-07,-0.05255924
22:10:25:55:877,4.98397E-07,-0.050583328
22:10:25:55:893,5.03997E-07,-0.048607416
22:10:25:55:894,5.04697E-07,-0.046631508
22:10:25:55:909,5.06797E-07,-0.044655596
22:10:25:55:924,5.01897E-07,-0.042679684
22:10:25:55:926,5.05397E-07,-0.040703772
22:10:25:55:941,4.99797E-07,-0.03872786
22:10:25:55:945,5.00497E-07,-0.036751948
22:10:25:55:957,5.06097E-07,-0.034776036
22:10:25:55:973,5.01197E-07,-0.032800128
22:10:25:55:976,5.03997E-07,-0.030824216
22:10:25:55:988,5.03997E-07,-0.028848304
22:10:25:56:005,5.13097E-07,-0.026872394
22:10:25:56:007,5.08197E-07,-0.024896482
22:10:25:56:021,5.03297E-07,-0.022920572
22:10:25:56:022,5.02597E-07,-0.020944658
