timestamp,I,V
22:10:25:03:529,7.60896E-07,-0.599886
22:10:25:03:544,6.71296E-07,-0.59791
22:10:25:03:546,6.11097E-07,-0.595934
22:10:25:03:560,5.85197E-07,-0.593959
22:10:25:03:563,5.69797E-07,-0.591983
22:10:25:03:576,5.51597E-07,-0.590007
22:10:25:03:593,5.45997E-07,-0.588031
22:10:25:03:595,5.39697E-07,-0.586055
22:10:25:03:608,5.34097E-07,-0.584079
22:10:25:03:623,5.35497E-07,-0.582103
22:10:25:03:626,5.31997E-07,-0.580127
22:10:25:03:640,5.23597E-07,-0.578151
22:10:25:03:642,5.24297E-07,-0.576175
22:10:25:03:657,5.24997E-07,-0.574199
22:10:25:03:672,5.17297E-07,-0.572223
22:10:25:03:676,5.14497E-07,-0.570248
22:10:25:03:688,5.21497E-07,-0.568272
22:10:25:03:703,5.16597E-07,-0.566296
22:10:25:03:707,5.16597E-07,-0.56432
22:10:25:03:721,5.13797E-07,-0.562344
22:10:25:03:722,5.13797E-07,-0.560368
22:10:25:03:736,5.08897E-07,-0.558392
22:10:25:03:752,5.10297E-07,-0.556416
22:10:25:03:754,5.01897E-07,-0.55444
22:10:25:03:769,5.06097E-07,-0.552464
22:10:25:03:773,5.05397E-07,-0.550488
22:10:25:03:785,5.06097E-07,-0.548513
22:10:25:03:801,5.08197E-07,-0.546537
22:10:25:03:805,5.01197E-07,-0.544561
22:10:25:03:816,5.05397E-07,-0.542585
22:10:25:03:833,5.01197E-07,-0.540609
22:10:25:03:842,4.99797E-07,-0.538633
22:10:25:03:849,5.06797E-07,-0.536657
22:10:25:03:851,4.99797E-07,-0.534681
22:10:25:03:865,5.01197E-07,-0.532705
22:10:25:03:881,5.01897E-07,-0.530729
22:10:25:03:882,5.04697E-07,-0.528753
22:10:25:03:897,5.00497E-07,-0.526778
22:10:25:03:913,4.92797E-07,-0.524802
22:10:25:03:915,4.99097E-07,-0.522826
22:10:25:03:929,4.94197E-07,-0.52085
22:10:25:03:931,4.89997E-07,-0.518874
22:10:25:03:945,4.96297E-07,-0.516898
22:10:25:03:961,4.92097E-07,-0.514922
22:10:25:03:964,4.92797E-07,-0.512946
22:10:25:03:976,4.91397E-07,-0.51097
22:10:25:03:991,4.89297E-07,-0.508994
22:10:25:03:994,4.95597E-07,-0.507018
22:10:25:04:008,4.91397E-07,-0.505042
22:10:25:04:009,4.87897E-07,-0.503067
22:10:25:04:024,4.94897E-07,-0.501091
22:10:25:04:040,4.81597E-07,-0.499115
22:10:25:04:042,4.81597E-07,-0.497139
22:10:25:04:056,4.83697E-07,-0.495163
22:10:25:04:073,4.87197E-07,-0.493187
22:10:25:04:074,4.81597E-07,-0.491211
22:10:25:04:088,4.89297E-07,-0.489235
22:10:25:04:093,4.86497E-07,-0.487259
22:10:25:04:105,4.82297E-07,-0.485283
22:10:25:04:121,4.80897E-07,-0.483307
22:10:25:04:123,4.82997E-07,-0.481332
22:10:25:04:137,4.85797E-07,-0.479356
22:10:25:04:154,4.87897E-07,-0.47738
22:10:25:04:156,4.82297E-07,-0.475404
22:10:25:04:169,4.89297E-07,-0.473428
22:10:25:04:171,4.93497E-07,-0.471452
22:10:25:04:185,4.88597E-07,-0.469476
22:10:25:04:201,4.95597E-07,-0.4675
22:10:25:04:203,4.91397E-07,-0.465524
22:10:25:04:216,4.89297E-07,-0.463548
22:10:25:04:233,4.93497E-07,-0.461572
22:10:25:04:235,4.92097E-07,-0.459597
22:10:25:04:249,4.94197E-07,-0.457621
22:10:25:04:252,5.02597E-07,-0.455645
22:10:25:04:265,5.00497E-07,-0.453669
22:10:25:04:281,5.06797E-07,-0.451693
22:10:25:04:284,5.04697E-07,-0.449717
22:10:25:04:297,5.06797E-07,-0.447741
22:10:25:04:313,5.13797E-07,-0.445765
22:10:25:04:315,5.22897E-07,-0.443789
22:10:25:04:329,5.23597E-07,-0.441813
22:10:25:04:331,5.31997E-07,-0.439837
22:10:25:04:345,5.40397E-07,-0.437861
22:10:25:04:361,5.38297E-07,-0.435886
22:10:25:04:363,5.49497E-07,-0.43391
22:10:25:04:377,5.57197E-07,-0.431934
22:10:25:04:392,5.62797E-07,-0.429958
22:10:25:04:394,5.71897E-07,-0.427982
22:10:25:04:408,5.84497E-07,-0.426006
22:10:25:04:411,5.84497E-07,-0.42403
22:10:25:04:424,5.93597E-07,-0.422054
22:10:25:04:442,6.08997E-07,-0.420078
22:10:25:04:444,6.31397E-07,-0.418102
22:10:25:04:457,6.41897E-07,-0.416126
22:10:25:04:472,6.46797E-07,-0.414151
22:10:25:04:476,6.61497E-07,-0.412175
22:10:25:04:488,6.77597E-07,-0.410199
22:10:25:04:489,6.99296E-07,-0.408223
22:10:25:04:504,6.98596E-07,-0.406247
22:10:25:04:521,7.25196E-07,-0.404271
22:10:25:04:523,7.46196E-07,-0.402295
22:10:25:04:536,7.60196E-07,-0.400319
22:10:25:04:552,7.86096E-07,-0.398343
22:10:25:04:556,8.07796E-07,-0.396367
22:10:25:04:569,8.22496E-07,-0.394391
22:10:25:04:571,8.49096E-07,-0.392416
22:10:25:04:584,8.67296E-07,-0.39044
22:10:25:04:600,8.91796E-07,-0.388464
22:10:25:04:604,9.21895E-07,-0.386488
22:10:25:04:616,9.46395E-07,-0.384512
22:10:25:04:632,9.68795E-07,-0.382536
22:10:25:04:635,9.84895E-07,-0.38056
22:10:25:04:649,1.014295E-06,-0.378584
22:10:25:04:650,1.039495E-06,-0.376608
22:10:25:04:665,1.055595E-06,-0.374632
22:10:25:04:681,1.073795E-06,-0.372656
22:10:25:04:682,1.084995E-06,-0.370681
22:10:25:04:696,1.106695E-06,-0.368705
22:10:25:04:699,1.112995E-06,-0.366729
22:10:25:04:712,1.124895E-06,-0.364753
22:10:25:04:729,1.137494E-06,-0.362777
22:10:25:04:731,1.145194E-06,-0.360801
22:10:25:04:744,1.145895E-06,-0.358825
22:10:25:04:761,1.144494E-06,-0.356849
22:10:25:04:763,1.132595E-06,-0.354873
22:10:25:04:777,1.131894E-06,-0.352897
22:10:25:04:779,1.118595E-06,-0.350921
22:10:25:04:794,1.110895E-06,-0.348945
22:10:25:04:809,1.086395E-06,-0.34697
22:10:25:04:811,1.077995E-06,-0.344994
22:10:25:04:826,1.051395E-06,-0.343018
22:10:25:04:840,1.041595E-06,-0.341042
22:10:25:04:842,1.021295E-06,-0.339066
22:10:25:04:856,9.94695E-07,-0.33709
22:10:25:04:859,9.79995E-07,-0.335114
22:10:25:04:872,9.62495E-07,-0.333138
22:10:25:04:889,9.33095E-07,-0.331162
22:10:25:04:892,9.16295E-07,-0.329186
22:10:25:04:905,8.92496E-07,-0.32721
22:10:25:04:921,8.67296E-07,-0.325235
22:10:25:04:924,8.44896E-07,-0.323259
22:10:25:04:937,8.19696E-07,-0.321283
22:10:25:04:939,8.02196E-07,-0.319307
22:10:25:04:953,7.76296E-07,-0.317331
22:10:25:04:969,7.53196E-07,-0.315355
22:10:25:04:971,7.28696E-07,-0.313379
22:10:25:04:984,7.18196E-07,-0.311403
22:10:25:05:000,6.98596E-07,-0.309427
22:10:25:05:002,6.70597E-07,-0.307451
22:10:25:05:017,6.60097E-07,-0.305475
22:10:25:05:026,6.39097E-07,-0.3035
22:10:25:05:032,6.29297E-07,-0.301524
22:10:25:05:049,6.14597E-07,-0.299548
22:10:25:05:051,6.00597E-07,-0.297572
22:10:25:05:065,5.97797E-07,-0.295596
22:10:25:05:081,5.80997E-07,-0.29362
22:10:25:05:083,5.64897E-07,-0.291644
22:10:25:05:097,5.56497E-07,-0.289668
22:10:25:05:099,5.49497E-07,-0.287692
22:10:25:05:113,5.36897E-07,-0.285716
22:10:25:05:129,5.27097E-07,-0.28374
22:10:25:05:131,5.27797E-07,-0.281765
22:10:25:05:145,5.13097E-07,-0.279789
22:10:25:05:161,5.08197E-07,-0.277813
22:10:25:05:163,4.97697E-07,-0.275837
22:10:25:05:177,4.94197E-07,-0.273861
22:10:25:05:179,4.97697E-07,-0.271885
22:10:25:05:193,4.89297E-07,-0.269909
22:10:25:05:208,4.77397E-07,-0.267933
22:10:25:05:212,4.80197E-07,-0.265957
