timestamp,I,V
22:10:25:25:239,8.20396E-07,-0.599886
22:10:25:25:242,7.03496E-07,-0.59791
22:10:25:25:255,6.39797E-07,-0.595934
22:10:25:25:257,6.08297E-07,-0.593959
22:10:25:25:271,5.89397E-07,-0.591983
22:10:25:25:287,5.80997E-07,-0.590007
22:10:25:25:291,5.66997E-07,-0.588031
22:10:25:25:303,5.62097E-07,-0.586055
22:10:25:25:319,5.55797E-07,-0.584079
22:10:25:25:322,5.49497E-07,-0.582103
22:10:25:25:335,5.53697E-07,-0.580127
22:10:25:25:337,5.44597E-07,-0.578151
22:10:25:25:351,5.44597E-07,-0.576175
22:10:25:25:367,5.44597E-07,-0.574199
22:10:25:25:369,5.41097E-07,-0.572223
22:10:25:25:383,5.48097E-07,-0.570248
22:10:25:25:399,5.36897E-07,-0.568272
22:10:25:25:400,5.36197E-07,-0.566296
22:10:25:25:415,5.38297E-07,-0.56432
22:10:25:25:418,5.33397E-07,-0.562344
22:10:25:25:431,5.33397E-07,-0.560368
22:10:25:25:448,5.25697E-07,-0.558392
22:10:25:25:450,5.27797E-07,-0.556416
22:10:25:25:463,5.25697E-07,-0.55444
22:10:25:25:479,5.29197E-07,-0.552464
22:10:25:25:483,5.22897E-07,-0.550488
22:10:25:25:495,5.26397E-07,-0.548513
22:10:25:25:497,5.29197E-07,-0.546537
22:10:25:25:510,5.26397E-07,-0.544561
22:10:25:25:527,5.24997E-07,-0.542585
22:10:25:25:528,5.22197E-07,-0.540609
22:10:25:25:543,5.25697E-07,-0.538633
22:10:25:25:558,5.19397E-07,-0.536657
22:10:25:25:561,5.18697E-07,-0.534681
22:10:25:25:576,5.22197E-07,-0.532705
22:10:25:25:578,5.20097E-07,-0.530729
22:10:25:25:591,5.22897E-07,-0.528753
22:10:25:25:607,5.16597E-07,-0.526778
22:10:25:25:609,5.31997E-07,-0.524802
22:10:25:25:622,5.10997E-07,-0.522826
22:10:25:25:638,5.24997E-07,-0.52085
22:10:25:25:641,5.17297E-07,-0.518874
22:10:25:25:655,5.26397E-07,-0.516898
22:10:25:25:657,5.10997E-07,-0.514922
22:10:25:25:671,5.22197E-07,-0.512946
22:10:25:25:687,5.22197E-07,-0.51097
22:10:25:25:688,5.14497E-07,-0.508994
22:10:25:25:703,5.16597E-07,-0.507018
22:10:25:25:718,5.18697E-07,-0.505042
22:10:25:25:720,5.11697E-07,-0.503067
22:10:25:25:735,5.19397E-07,-0.501091
22:10:25:25:738,5.13797E-07,-0.499115
22:10:25:25:751,5.13097E-07,-0.497139
22:10:25:25:767,5.11697E-07,-0.495163
22:10:25:25:770,5.10297E-07,-0.493187
22:10:25:25:783,5.17297E-07,-0.491211
22:10:25:25:798,5.06097E-07,-0.489235
22:10:25:25:801,5.15197E-07,-0.487259
22:10:25:25:815,5.08897E-07,-0.485283
22:10:25:25:816,5.14497E-07,-0.483307
22:10:25:25:832,5.11697E-07,-0.481332
22:10:25:25:848,5.13097E-07,-0.479356
22:10:25:25:849,5.17997E-07,-0.47738
22:10:25:25:864,5.13097E-07,-0.475404
22:10:25:25:867,5.17297E-07,-0.473428
22:10:25:25:880,5.15197E-07,-0.471452
22:10:25:25:895,5.11697E-07,-0.469476
22:10:25:25:899,5.17297E-07,-0.4675
22:10:25:25:911,5.20797E-07,-0.465524
22:10:25:25:927,5.10997E-07,-0.463548
22:10:25:25:931,5.18697E-07,-0.461572
22:10:25:25:943,5.22197E-07,-0.459597
22:10:25:25:945,5.15897E-07,-0.457621
22:10:25:25:959,5.22197E-07,-0.455645
22:10:25:25:975,5.30597E-07,-0.453669
22:10:25:25:977,5.29197E-07,-0.451693
22:10:25:25:991,5.38997E-07,-0.449717
22:10:25:26:007,5.38297E-07,-0.447741
22:10:25:26:009,5.44597E-07,-0.445765
22:10:25:26:023,5.53697E-07,-0.443789
22:10:25:26:032,5.43197E-07,-0.441813
22:10:25:26:039,5.44597E-07,-0.439837
22:10:25:26:055,5.58597E-07,-0.437861
22:10:25:26:059,5.69097E-07,-0.435886
22:10:25:26:071,5.66997E-07,-0.43391
22:10:25:26:087,5.80297E-07,-0.431934
22:10:25:26:090,5.83097E-07,-0.429958
22:10:25:26:103,5.97797E-07,-0.427982
22:10:25:26:105,6.04797E-07,-0.426006
22:10:25:26:119,6.08997E-07,-0.42403
22:10:25:26:135,6.25797E-07,-0.422054
22:10:25:26:137,6.35597E-07,-0.420078
22:10:25:26:151,6.50297E-07,-0.418102
22:10:25:26:167,6.63597E-07,-0.416126
22:10:25:26:169,6.60797E-07,-0.414151
22:10:25:26:183,6.83897E-07,-0.412175
22:10:25:26:186,6.97896E-07,-0.410199
22:10:25:26:199,7.18196E-07,-0.408223
22:10:25:26:215,7.29396E-07,-0.406247
22:10:25:26:217,7.53896E-07,-0.404271
22:10:25:26:231,7.65096E-07,-0.402295
22:10:25:26:247,7.82596E-07,-0.400319
22:10:25:26:249,8.00796E-07,-0.398343
22:10:25:26:263,8.28096E-07,-0.396367
22:10:25:26:264,8.44196E-07,-0.394391
22:10:25:26:279,8.62396E-07,-0.392416
22:10:25:26:295,8.91796E-07,-0.39044
22:10:25:26:296,9.12095E-07,-0.388464
22:10:25:26:311,9.42195E-07,-0.386488
22:10:25:26:327,9.67395E-07,-0.384512
22:10:25:26:329,9.88395E-07,-0.382536
22:10:25:26:344,1.019195E-06,-0.38056
22:10:25:26:347,1.037395E-06,-0.378584
22:10:25:26:359,1.061895E-06,-0.376608
22:10:25:26:376,1.094795E-06,-0.374632
22:10:25:26:380,1.102495E-06,-0.372656
22:10:25:26:392,1.117195E-06,-0.370681
22:10:25:26:407,1.131894E-06,-0.368705
22:10:25:26:417,1.153594E-06,-0.366729
22:10:25:26:423,1.167594E-06,-0.364753
22:10:25:26:425,1.168994E-06,-0.362777
22:10:25:26:440,1.171794E-06,-0.360801
22:10:25:26:455,1.172494E-06,-0.358825
22:10:25:26:456,1.181594E-06,-0.356849
22:10:25:26:471,1.176694E-06,-0.354873
22:10:25:26:487,1.161994E-06,-0.352897
22:10:25:26:490,1.150094E-06,-0.350921
22:10:25:26:503,1.140994E-06,-0.348945
22:10:25:26:505,1.138194E-06,-0.34697
22:10:25:26:519,1.122095E-06,-0.344994
22:10:25:26:535,1.103895E-06,-0.343018
22:10:25:26:536,1.084295E-06,-0.341042
22:10:25:26:551,1.070995E-06,-0.339066
22:10:25:26:566,1.041595E-06,-0.33709
22:10:25:26:568,1.019895E-06,-0.335114
22:10:25:26:583,1.008695E-06,-0.333138
22:10:25:26:586,9.79995E-07,-0.331162
22:10:25:26:599,9.56895E-07,-0.329186
22:10:25:26:615,9.38695E-07,-0.32721
22:10:25:26:618,9.04396E-07,-0.325235
22:10:25:26:631,8.79896E-07,-0.323259
22:10:25:26:647,8.60296E-07,-0.321283
22:10:25:26:650,8.44896E-07,-0.319307
22:10:25:26:663,8.17596E-07,-0.317331
22:10:25:26:665,7.97296E-07,-0.315355
22:10:25:26:680,7.79796E-07,-0.313379
22:10:25:26:696,7.54596E-07,-0.311403
22:10:25:26:698,7.32196E-07,-0.309427
22:10:25:26:712,7.19596E-07,-0.307451
22:10:25:26:727,6.98596E-07,-0.305475
22:10:25:26:730,6.87396E-07,-0.3035
22:10:25:26:744,6.68497E-07,-0.301524
22:10:25:26:747,6.50997E-07,-0.299548
22:10:25:26:760,6.43297E-07,-0.297572
22:10:25:26:776,6.22997E-07,-0.295596
22:10:25:26:780,6.11797E-07,-0.29362
22:10:25:26:792,6.04097E-07,-0.291644
22:10:25:26:807,5.92897E-07,-0.289668
22:10:25:26:812,5.80297E-07,-0.287692
22:10:25:26:823,5.80997E-07,-0.285716
22:10:25:26:825,5.66297E-07,-0.28374
22:10:25:26:839,5.62797E-07,-0.281765
22:10:25:26:855,5.50897E-07,-0.279789
22:10:25:26:858,5.45997E-07,-0.277813
22:10:25:26:871,5.37597E-07,-0.275837
22:10:25:26:872,5.32697E-07,-0.273861
22:10:25:26:887,5.28497E-07,-0.271885
22:10:25:26:903,5.26397E-07,-0.269909
22:10:25:26:905,5.24297E-07,-0.267933
22:10:25:26:919,5.17997E-07,-0.265957
22:10:25:26:935,5.12397E-07,-0.263981
22:10:25:26:937,5.10297E-07,-0.262005
22:10:25:26:951,5.04697E-07,-0.260029
22:10:25:26:954,5.02597E-07,-0.258054
22:10:25:26:967,4.99097E-07,-0.256078
22:10:25:26:983,4.98397E-07,-0.254102
22:10:25:26:986,4.96297E-07,-0.252126
22:10:25:27:000,4.90697E-07,-0.25015
22:10:25:27:015,4.89297E-07,-0.248174
22:10:25:27:017,4.99097E-07,-0.246198
22:10:25:27:031,4.83697E-07,-0.244222
22:10:25:27:033,4.89997E-07,-0.242246
22:10:25:27:048,4.87897E-07,-0.24027
22:10:25:27:063,4.81597E-07,-0.238294
22:10:25:27:064,4.82997E-07,-0.236319
22:10:25:27:080,4.79497E-07,-0.234343
22:10:25:27:096,4.80897E-07,-0.232367
22:10:25:27:098,4.82997E-07,-0.230391
22:10:25:27:112,4.80197E-07,-0.228415
22:10:25:27:114,4.83697E-07,-0.226439
