timestamp,I,V
22:10:25:46:915,8.63096E-07,-0.599886
22:10:25:46:931,7.37096E-07,-0.59791
22:10:25:46:947,6.65697E-07,-0.595934
22:10:25:46:950,6.25097E-07,-0.593959
22:10:25:46:963,6.11097E-07,-0.591983
22:10:25:46:978,6.01297E-07,-0.590007
22:10:25:46:981,5.87997E-07,-0.588031
22:10:25:46:995,5.79597E-07,-0.586055
22:10:25:46:997,5.76797E-07,-0.584079
22:10:25:47:011,5.71197E-07,-0.582103
22:10:25:47:027,5.69097E-07,-0.580127
22:10:25:47:028,5.64897E-07,-0.578151
22:10:25:47:043,5.59997E-07,-0.576175
22:10:25:47:045,5.62797E-07,-0.574199
22:10:25:47:059,5.54397E-07,-0.572223
22:10:25:47:075,5.59297E-07,-0.570248
22:10:25:47:077,5.59997E-07,-0.568272
22:10:25:47:092,5.52997E-07,-0.566296
22:10:25:47:107,5.56497E-07,-0.56432
22:10:25:47:109,5.45297E-07,-0.562344
22:10:25:47:123,5.53697E-07,-0.560368
22:10:25:47:123,5.50197E-07,-0.558392
22:10:25:47:139,5.50897E-07,-0.556416
22:10:25:47:155,5.52297E-07,-0.55444
22:10:25:47:155,5.48797E-07,-0.552464
22:10:25:47:171,5.48797E-07,-0.550488
22:10:25:47:187,5.44597E-07,-0.548513
22:10:25:47:188,5.41097E-07,-0.546537
22:10:25:47:203,5.37597E-07,-0.544561
22:10:25:47:205,5.47397E-07,-0.542585
22:10:25:47:219,5.36197E-07,-0.540609
22:10:25:47:236,5.47397E-07,-0.538633
22:10:25:47:237,5.43897E-07,-0.536657
22:10:25:47:251,5.38997E-07,-0.534681
22:10:25:47:267,5.47397E-07,-0.532705
22:10:25:47:271,5.31997E-07,-0.530729
22:10:25:47:283,5.38997E-07,-0.528753
22:10:25:47:284,5.41797E-07,-0.526778
22:10:25:47:299,5.37597E-07,-0.524802
22:10:25:47:315,5.38997E-07,-0.522826
22:10:25:47:316,5.38297E-07,-0.52085
22:10:25:47:331,5.39697E-07,-0.518874
22:10:25:47:347,5.37597E-07,-0.516898
22:10:25:47:349,5.35497E-07,-0.514922
22:10:25:47:363,5.31997E-07,-0.512946
22:10:25:47:366,5.31997E-07,-0.51097
22:10:25:47:378,5.31997E-07,-0.508994
22:10:25:47:395,5.30597E-07,-0.507018
22:10:25:47:398,5.33397E-07,-0.505042
22:10:25:47:410,5.36197E-07,-0.503067
22:10:25:47:427,5.33397E-07,-0.501091
22:10:25:47:429,5.31997E-07,-0.499115
22:10:25:47:443,5.34797E-07,-0.497139
22:10:25:47:444,5.34797E-07,-0.495163
22:10:25:47:459,5.31297E-07,-0.493187
22:10:25:47:475,5.27097E-07,-0.491211
22:10:25:47:476,5.30597E-07,-0.489235
22:10:25:47:491,5.36897E-07,-0.487259
22:10:25:47:507,5.33397E-07,-0.485283
22:10:25:47:507,5.36897E-07,-0.483307
22:10:25:47:523,5.28497E-07,-0.481332
22:10:25:47:525,5.27097E-07,-0.479356
22:10:25:47:539,5.26397E-07,-0.47738
22:10:25:47:554,5.29197E-07,-0.475404
22:10:25:47:556,5.30597E-07,-0.473428
22:10:25:47:570,5.36897E-07,-0.471452
22:10:25:47:587,5.29197E-07,-0.469476
22:10:25:47:588,5.29197E-07,-0.4675
22:10:25:47:602,5.31297E-07,-0.465524
22:10:25:47:603,5.31297E-07,-0.463548
22:10:25:47:619,5.38997E-07,-0.461572
22:10:25:47:635,5.40397E-07,-0.459597
22:10:25:47:636,5.39697E-07,-0.457621
22:10:25:47:651,5.46697E-07,-0.455645
22:10:25:47:667,5.40397E-07,-0.453669
22:10:25:47:668,5.48097E-07,-0.451693
22:10:25:47:683,5.50897E-07,-0.449717
22:10:25:47:686,5.49497E-07,-0.447741
22:10:25:47:698,5.55797E-07,-0.445765
22:10:25:47:715,5.54397E-07,-0.443789
22:10:25:47:718,5.66297E-07,-0.441813
22:10:25:47:731,5.66997E-07,-0.439837
22:10:25:47:746,5.78897E-07,-0.437861
22:10:25:47:750,5.78897E-07,-0.435886
22:10:25:47:762,5.88697E-07,-0.43391
