timestamp,I,V
22:10:21:15:933,1.109495E-06,-0.599886
22:10:21:15:935,9.58295E-07,-0.59791
22:10:21:15:950,8.94595E-07,-0.595934
22:10:21:15:951,8.58896E-07,-0.593959
22:10:21:15:966,8.33696E-07,-0.591983
22:10:21:15:982,8.22496E-07,-0.590007
22:10:21:15:983,8.23896E-07,-0.588031
22:10:21:15:998,8.09196E-07,-0.586055
22:10:21:16:014,8.02896E-07,-0.584079
22:10:21:16:015,7.99396E-07,-0.582103
22:10:21:16:029,7.93096E-07,-0.580127
22:10:21:16:031,7.95196E-07,-0.578151
22:10:21:16:045,7.91696E-07,-0.576175
22:10:21:16:061,7.88196E-07,-0.574199
22:10:21:16:063,7.81896E-07,-0.572223
22:10:21:16:077,7.78396E-07,-0.570248
22:10:21:16:094,7.76296E-07,-0.568272
22:10:21:16:097,7.79096E-07,-0.566296
22:10:21:16:109,7.71396E-07,-0.56432
22:10:21:16:110,7.75596E-07,-0.562344
22:10:21:16:125,7.70696E-07,-0.560368
22:10:21:16:141,7.75596E-07,-0.558392
22:10:21:16:142,7.74196E-07,-0.556416
22:10:21:16:158,7.66496E-07,-0.55444
22:10:21:16:173,7.68596E-07,-0.552464
22:10:21:16:174,7.67196E-07,-0.550488
22:10:21:16:190,7.66496E-07,-0.548513
22:10:21:16:191,7.67896E-07,-0.546537
22:10:21:16:205,7.67896E-07,-0.544561
22:10:21:16:222,7.58096E-07,-0.542585
22:10:21:16:223,7.60196E-07,-0.540609
22:10:21:16:237,7.53896E-07,-0.538633
22:10:21:16:253,7.58096E-07,-0.536657
22:10:21:16:255,7.59496E-07,-0.534681
22:10:21:16:269,7.57396E-07,-0.532705
22:10:21:16:270,7.60196E-07,-0.530729
22:10:21:16:286,7.60196E-07,-0.528753
22:10:21:16:302,7.45496E-07,-0.526778
22:10:21:16:303,7.54596E-07,-0.524802
22:10:21:16:318,7.57396E-07,-0.522826
22:10:21:16:334,7.51796E-07,-0.52085
22:10:21:16:335,7.46896E-07,-0.518874
22:10:21:16:351,7.43396E-07,-0.516898
22:10:21:16:353,7.47596E-07,-0.514922
22:10:21:16:366,7.49696E-07,-0.512946
22:10:21:16:382,7.44096E-07,-0.51097
22:10:21:16:386,7.43396E-07,-0.508994
22:10:21:16:398,7.46196E-07,-0.507018
22:10:21:16:413,7.44796E-07,-0.505042
22:10:21:16:417,7.44096E-07,-0.503067
22:10:21:16:430,7.47596E-07,-0.501091
22:10:21:16:431,7.45496E-07,-0.499115
22:10:21:16:446,7.39896E-07,-0.497139
22:10:21:16:462,7.41296E-07,-0.495163
22:10:21:16:463,7.41296E-07,-0.493187
22:10:21:16:478,7.42696E-07,-0.491211
22:10:21:16:493,7.32196E-07,-0.489235
22:10:21:16:495,7.35696E-07,-0.487259
22:10:21:16:509,7.36396E-07,-0.485283
22:10:21:16:512,7.32896E-07,-0.483307
22:10:21:16:525,7.36396E-07,-0.481332
22:10:21:16:541,7.35696E-07,-0.479356
22:10:21:16:543,7.33596E-07,-0.47738
22:10:21:16:557,7.37796E-07,-0.475404
22:10:21:16:573,7.32896E-07,-0.473428
22:10:21:16:575,7.32196E-07,-0.471452
22:10:21:16:589,7.41996E-07,-0.469476
22:10:21:16:590,7.37796E-07,-0.4675
22:10:21:16:606,7.39896E-07,-0.465524
22:10:21:16:622,7.39896E-07,-0.463548
22:10:21:16:623,7.30796E-07,-0.461572
22:10:21:16:638,7.34996E-07,-0.459597
22:10:21:16:653,7.33596E-07,-0.457621
22:10:21:16:654,7.34296E-07,-0.455645
22:10:21:16:669,7.43396E-07,-0.453669
22:10:21:16:671,7.40596E-07,-0.451693
22:10:21:16:686,7.39196E-07,-0.449717
22:10:21:16:702,7.42696E-07,-0.447741
22:10:21:16:704,7.48996E-07,-0.445765
22:10:21:16:718,7.48296E-07,-0.443789
22:10:21:16:733,7.50396E-07,-0.441813
22:10:21:16:736,7.55996E-07,-0.439837
22:10:21:16:749,7.55996E-07,-0.437861
22:10:21:16:750,7.60896E-07,-0.435886
22:10:21:16:766,7.73496E-07,-0.43391
22:10:21:16:781,7.79796E-07,-0.431934
22:10:21:16:783,7.88196E-07,-0.429958
22:10:21:16:798,7.88896E-07,-0.427982
22:10:21:16:812,7.96596E-07,-0.426006
22:10:21:16:813,8.02896E-07,-0.42403
22:10:21:16:829,8.14796E-07,-0.422054
22:10:21:16:832,8.21096E-07,-0.420078
22:10:21:16:846,8.25996E-07,-0.418102
22:10:21:16:862,8.36496E-07,-0.416126
22:10:21:16:865,8.42796E-07,-0.414151
22:10:21:16:877,8.64496E-07,-0.412175
22:10:21:16:892,8.84796E-07,-0.410199
22:10:21:16:896,8.90396E-07,-0.408223
22:10:21:16:909,8.98096E-07,-0.406247
22:10:21:16:910,9.24695E-07,-0.404271
22:10:21:16:925,9.32395E-07,-0.402295
22:10:21:16:941,9.47095E-07,-0.400319
22:10:21:16:942,9.62495E-07,-0.398343
22:10:21:16:958,9.81395E-07,-0.396367
22:10:21:16:959,1.003095E-06,-0.394391
22:10:21:16:973,1.025495E-06,-0.392416
22:10:21:16:989,1.042995E-06,-0.39044
22:10:21:16:991,1.061195E-06,-0.388464
22:10:21:17:005,1.087795E-06,-0.386488
22:10:21:17:022,1.110195E-06,-0.384512
22:10:21:17:023,1.141695E-06,-0.382536
22:10:21:17:038,1.164794E-06,-0.38056
22:10:21:17:039,1.190694E-06,-0.378584
22:10:21:17:054,1.216594E-06,-0.376608
22:10:21:17:070,1.241794E-06,-0.374632
22:10:21:17:071,1.269794E-06,-0.372656
22:10:21:17:086,1.287994E-06,-0.370681
22:10:21:17:102,1.322294E-06,-0.368705
22:10:21:17:103,1.344693E-06,-0.366729
22:10:21:17:119,1.360793E-06,-0.364753
22:10:21:17:120,1.385293E-06,-0.362777
22:10:21:17:134,1.406993E-06,-0.360801
22:10:21:17:149,1.411893E-06,-0.358825
22:10:21:17:153,1.423093E-06,-0.356849
22:10:21:17:165,1.433593E-06,-0.354873
22:10:21:17:182,1.443393E-06,-0.352897
22:10:21:17:185,1.439893E-06,-0.350921
22:10:21:17:198,1.436393E-06,-0.348945
22:10:21:17:199,1.435693E-06,-0.34697
22:10:21:17:214,1.434293E-06,-0.344994
22:10:21:17:229,1.425893E-06,-0.343018
22:10:21:17:230,1.419593E-06,-0.341042
22:10:21:17:246,1.399293E-06,-0.339066
22:10:21:17:262,1.385993E-06,-0.33709
22:10:21:17:263,1.357993E-06,-0.335114
22:10:21:17:277,1.344694E-06,-0.333138
22:10:21:17:280,1.322994E-06,-0.331162
22:10:21:17:293,1.296394E-06,-0.329186
22:10:21:17:310,1.282394E-06,-0.32721
22:10:21:17:313,1.252994E-06,-0.325235
22:10:21:17:326,1.227094E-06,-0.323259
22:10:21:17:342,1.201194E-06,-0.321283
22:10:21:17:343,1.185794E-06,-0.319307
22:10:21:17:357,1.150794E-06,-0.317331
22:10:21:17:358,1.122795E-06,-0.315355
22:10:21:17:374,1.095495E-06,-0.313379
22:10:21:17:390,1.069595E-06,-0.311403
22:10:21:17:391,1.049295E-06,-0.309427
22:10:21:17:406,1.026895E-06,-0.307451
22:10:21:17:422,1.001695E-06,-0.305475
22:10:21:17:423,9.82095E-07,-0.3035
22:10:21:17:438,9.61795E-07,-0.301524
22:10:21:17:440,9.35895E-07,-0.299548
22:10:21:17:454,9.19095E-07,-0.297572
22:10:21:17:470,8.91796E-07,-0.295596
22:10:21:17:472,8.84796E-07,-0.29362
22:10:21:17:486,8.63096E-07,-0.291644
22:10:21:17:502,8.57496E-07,-0.289668
22:10:21:17:504,8.38596E-07,-0.287692
22:10:21:17:518,8.23896E-07,-0.285716
22:10:21:17:519,8.08496E-07,-0.28374
22:10:21:17:535,7.94496E-07,-0.281765
22:10:21:17:550,7.89596E-07,-0.279789
22:10:21:17:551,7.83296E-07,-0.277813
22:10:21:17:567,7.71396E-07,-0.275837
22:10:21:17:582,7.57396E-07,-0.273861
22:10:21:17:584,7.53196E-07,-0.271885
22:10:21:17:599,7.41296E-07,-0.269909
