timestamp,I,V
22:10:20:04:402,1.084295E-06,-0.599886
22:10:20:04:404,9.42895E-07,-0.59791
22:10:20:04:418,8.67996E-07,-0.595934
22:10:20:04:433,8.30896E-07,-0.593959
22:10:20:04:442,8.09896E-07,-0.591983
22:10:20:04:450,7.96596E-07,-0.590007
22:10:20:04:452,7.82596E-07,-0.588031
22:10:20:04:466,7.77696E-07,-0.586055
22:10:20:04:482,7.70696E-07,-0.584079
22:10:20:04:485,7.72096E-07,-0.582103
22:10:20:04:498,7.53196E-07,-0.580127
22:10:20:04:514,7.62996E-07,-0.578151
22:10:20:04:516,7.57396E-07,-0.576175
22:10:20:04:531,7.55296E-07,-0.574199
22:10:20:04:533,7.48296E-07,-0.572223
22:10:20:04:547,7.51796E-07,-0.570248
22:10:20:04:563,7.49696E-07,-0.568272
22:10:20:04:564,7.51096E-07,-0.566296
22:10:20:04:577,7.56696E-07,-0.56432
22:10:20:04:593,7.47596E-07,-0.562344
22:10:20:04:595,7.46896E-07,-0.560368
22:10:20:04:610,7.48296E-07,-0.558392
22:10:20:04:612,7.39896E-07,-0.556416
22:10:20:04:625,7.47596E-07,-0.55444
22:10:20:04:642,7.45496E-07,-0.552464
22:10:20:04:644,7.42696E-07,-0.550488
22:10:20:04:658,7.35696E-07,-0.548513
22:10:20:04:673,7.41296E-07,-0.546537
22:10:20:04:676,7.34996E-07,-0.544561
22:10:20:04:689,7.37796E-07,-0.542585
22:10:20:04:691,7.39196E-07,-0.540609
22:10:20:04:706,7.28696E-07,-0.538633
22:10:20:04:722,7.29396E-07,-0.536657
22:10:20:04:724,7.34996E-07,-0.534681
22:10:20:04:738,7.31496E-07,-0.532705
22:10:20:04:741,7.31496E-07,-0.530729
22:10:20:04:755,7.23796E-07,-0.528753
22:10:20:04:770,7.31496E-07,-0.526778
22:10:20:04:774,7.26596E-07,-0.524802
22:10:20:04:786,7.25896E-07,-0.522826
22:10:20:04:802,7.27996E-07,-0.52085
22:10:20:04:807,7.21696E-07,-0.518874
22:10:20:04:818,7.22396E-07,-0.516898
22:10:20:04:820,7.22396E-07,-0.514922
22:10:20:04:834,7.26596E-07,-0.512946
22:10:20:04:850,7.19596E-07,-0.51097
22:10:20:04:853,7.20996E-07,-0.508994
