timestamp,I,V
27:10:49:50:382,0,-0.499905
27:10:49:50:398,0,-0.497929
27:10:49:50:415,6.99996E-10,-0.495953
27:10:49:50:432,0,-0.493977
27:10:49:50:438,6.99996E-10,-0.492001
27:10:49:50:440,0,-0.490026
27:10:49:50:446,0,-0.48805
27:10:49:50:463,0,-0.486074
27:10:49:50:493,0,-0.484098
27:10:49:50:499,0,-0.482122
27:10:49:50:505,0,-0.480146
27:10:49:50:512,0,-0.47817
27:10:49:50:516,0,-0.476194
27:10:49:50:523,0,-0.474218
27:10:49:50:540,0,-0.472242
27:10:49:50:557,6.99996E-10,-0.470266
27:10:49:50:559,0,-0.468291
27:10:49:50:570,0,-0.466315
27:10:49:50:577,0,-0.464339
27:10:49:50:580,0,-0.462363
27:10:49:50:593,0,-0.460387
27:10:49:50:626,0,-0.458411
27:10:49:50:630,6.99996E-10,-0.456435
27:10:49:50:632,6.99996E-10,-0.454459
27:10:49:50:639,0,-0.452483
27:10:49:50:641,0,-0.450507
27:10:49:50:654,-6.99996E-10,-0.448531
27:10:49:50:659,0,-0.446555
27:10:49:50:671,0,-0.44458
27:10:49:50:675,0,-0.442604
27:10:49:50:687,6.99996E-10,-0.440628
27:10:49:50:707,0,-0.438652
27:10:49:50:717,0,-0.436676
27:10:49:50:731,6.99996E-10,-0.4347
27:10:49:50:739,0,-0.432724
27:10:49:50:744,0,-0.430748
27:10:49:50:750,0,-0.428772
27:10:49:50:764,0,-0.426796
27:10:49:50:769,0,-0.42482
27:10:49:50:783,0,-0.422845
27:10:49:50:792,0,-0.420869
27:10:49:50:825,0,-0.418893
27:10:49:50:826,0,-0.416917
27:10:49:50:828,0,-0.414941
27:10:49:50:830,0,-0.412965
27:10:49:50:834,0,-0.410989
27:10:49:50:846,0,-0.409013
27:10:49:50:914,6.99996E-10,-0.407037
27:10:49:50:915,0,-0.405061
27:10:49:50:959,0,-0.403085
27:10:49:50:975,0,-0.40111
27:10:49:50:981,0,-0.399134
27:10:49:50:988,-6.99996E-10,-0.397158
27:10:49:51:032,-6.99996E-10,-0.395182
27:10:49:51:067,-6.99996E-10,-0.393206
27:10:49:51:082,0,-0.39123
27:10:49:51:157,0,-0.389254
27:10:49:51:160,0,-0.387278
27:10:49:51:231,0,-0.385302
27:10:49:51:269,0,-0.383326
27:10:49:51:275,0,-0.38135
27:10:49:51:277,0,-0.379374
27:10:49:51:343,0,-0.377399
27:10:49:51:345,0,-0.375423
27:10:49:51:347,0,-0.373447
27:10:49:51:351,0,-0.371471
27:10:49:51:355,0,-0.369495
27:10:49:51:366,0,-0.367519
27:10:49:51:372,0,-0.365543
27:10:49:51:381,0,-0.363567
27:10:49:51:383,-1.399993E-09,-0.361591
27:10:49:51:385,6.99996E-10,-0.359615
27:10:49:51:393,0,-0.357639
27:10:49:51:395,0,-0.355664
27:10:49:51:397,0,-0.353688
27:10:49:51:406,0,-0.351712
27:10:49:51:418,6.99996E-10,-0.349736
27:10:49:51:438,0,-0.34776
27:10:49:51:440,-6.99996E-10,-0.345784
27:10:49:51:442,6.99996E-10,-0.343808
27:10:49:51:445,0,-0.341832
27:10:49:51:451,0,-0.339856
27:10:49:51:481,0,-0.33788
27:10:49:51:486,0,-0.335904
27:10:49:51:494,-6.99996E-10,-0.333929
27:10:49:51:512,0,-0.331953
27:10:49:51:514,-6.99996E-10,-0.329977
27:10:49:51:516,0,-0.328001
27:10:49:51:518,0,-0.326025
27:10:49:51:528,0,-0.324049
27:10:49:51:581,0,-0.322073
27:10:49:51:608,0,-0.320097
27:10:49:51:640,0,-0.318121
27:10:49:51:649,0,-0.316145
27:10:49:51:655,0,-0.314169
27:10:49:51:660,0,-0.312194
27:10:49:51:683,0,-0.310218
27:10:49:51:712,6.99996E-10,-0.308242
27:10:49:51:717,0,-0.306266
27:10:49:51:727,0,-0.30429
27:10:49:51:732,0,-0.302314
