timestamp,I,V
22:09:47:40:660,6.63597E-07,-0.599886
22:09:47:40:676,5.85197E-07,-0.59791
22:09:47:40:692,5.41797E-07,-0.595934
22:09:47:40:695,5.19397E-07,-0.593959
22:09:47:40:708,5.13097E-07,-0.591983
22:09:47:40:726,4.94897E-07,-0.590007
22:09:47:40:728,4.94897E-07,-0.588031
22:09:47:40:742,4.85797E-07,-0.586055
22:09:47:40:743,4.92097E-07,-0.584079
22:09:47:40:760,4.87897E-07,-0.582103
22:09:47:40:774,4.79497E-07,-0.580127
22:09:47:40:775,4.77397E-07,-0.578151
22:09:47:40:789,4.83697E-07,-0.576175
22:09:47:40:805,4.78097E-07,-0.574199
22:09:47:40:807,4.78097E-07,-0.572223
22:09:47:40:821,4.75297E-07,-0.570248
22:09:47:40:824,4.73897E-07,-0.568272
22:09:47:40:836,4.72497E-07,-0.566296
22:09:47:40:853,4.72497E-07,-0.56432
22:09:47:40:854,4.72497E-07,-0.562344
22:09:47:40:868,4.70397E-07,-0.560368
22:09:47:40:884,4.73897E-07,-0.558392
22:09:47:40:885,4.73897E-07,-0.556416
22:09:47:40:900,4.64097E-07,-0.55444
22:09:47:40:903,4.68297E-07,-0.552464
22:09:47:40:920,4.66897E-07,-0.550488
22:09:47:40:932,4.59897E-07,-0.548513
22:09:47:40:935,4.62697E-07,-0.546537
22:09:47:40:948,4.65497E-07,-0.544561
22:09:47:40:963,4.60597E-07,-0.542585
22:09:47:40:966,4.62697E-07,-0.540609
22:09:47:40:980,4.66897E-07,-0.538633
22:09:47:40:981,4.61297E-07,-0.536657
22:09:47:40:995,4.66897E-07,-0.534681
22:09:47:41:012,4.55697E-07,-0.532705
22:09:47:41:013,4.60597E-07,-0.530729
22:09:47:41:028,4.64797E-07,-0.528753
22:09:47:41:043,4.65497E-07,-0.526778
22:09:47:41:044,4.61297E-07,-0.524802
22:09:47:41:059,4.57097E-07,-0.522826
22:09:47:41:062,4.59197E-07,-0.52085
22:09:47:41:076,4.62697E-07,-0.518874
22:09:47:41:092,4.57797E-07,-0.516898
22:09:47:41:094,4.52198E-07,-0.514922
22:09:47:41:108,4.53597E-07,-0.512946
22:09:47:41:109,4.53597E-07,-0.51097
22:09:47:41:125,4.53598E-07,-0.508994
22:09:47:41:140,4.56397E-07,-0.507018
22:09:47:41:141,4.54997E-07,-0.505042
22:09:47:41:159,4.54298E-07,-0.503067
22:09:47:41:172,4.56397E-07,-0.501091
22:09:47:41:173,4.54298E-07,-0.499115
22:09:47:41:188,4.59197E-07,-0.497139
22:09:47:41:192,4.56397E-07,-0.495163
22:09:47:41:209,4.51498E-07,-0.493187
22:09:47:41:221,4.53598E-07,-0.491211
22:09:47:41:228,4.50798E-07,-0.489235
22:09:47:41:236,4.51498E-07,-0.487259
22:09:47:41:253,4.50798E-07,-0.485283
22:09:47:41:256,4.54297E-07,-0.483307
22:09:47:41:267,4.53598E-07,-0.481332
22:09:47:41:269,4.53598E-07,-0.479356
22:09:47:41:284,4.53598E-07,-0.47738
22:09:47:41:300,4.47998E-07,-0.475404
22:09:47:41:301,4.47297E-07,-0.473428
22:09:47:41:316,4.52897E-07,-0.471452
22:09:47:41:332,4.52897E-07,-0.469476
22:09:47:41:333,4.50097E-07,-0.4675
22:09:47:41:349,4.49398E-07,-0.465524
22:09:47:41:351,4.45898E-07,-0.463548
22:09:47:41:365,4.47998E-07,-0.461572
22:09:47:41:380,4.51497E-07,-0.459597
22:09:47:41:381,4.52198E-07,-0.457621
22:09:47:41:398,4.47298E-07,-0.455645
22:09:47:41:412,4.50798E-07,-0.453669
22:09:47:41:414,4.53598E-07,-0.451693
22:09:47:41:428,4.50098E-07,-0.449717
22:09:47:41:429,4.47998E-07,-0.447741
22:09:47:41:444,4.51498E-07,-0.445765
22:09:47:41:460,4.52898E-07,-0.443789
22:09:47:41:462,4.45898E-07,-0.441813
22:09:47:41:476,4.55697E-07,-0.439837
22:09:47:41:491,4.58497E-07,-0.437861
22:09:47:41:493,4.52898E-07,-0.435886
22:09:47:41:509,4.62697E-07,-0.43391
22:09:47:41:511,4.58497E-07,-0.431934
22:09:47:41:524,4.60597E-07,-0.429958
22:09:47:41:540,4.61297E-07,-0.427982
22:09:47:41:544,4.65497E-07,-0.426006
22:09:47:41:557,4.63397E-07,-0.42403
22:09:47:41:571,4.64797E-07,-0.422054
22:09:47:41:573,4.67597E-07,-0.420078
22:09:47:41:592,4.72497E-07,-0.418102
22:09:47:41:598,4.78797E-07,-0.416126
22:09:47:41:604,4.79497E-07,-0.414151
22:09:47:41:621,4.77397E-07,-0.412175
22:09:47:41:622,4.80897E-07,-0.410199
22:09:47:41:637,4.87197E-07,-0.408223
22:09:47:41:639,4.88597E-07,-0.406247
22:09:47:41:651,4.94897E-07,-0.404271
22:09:47:41:668,5.02597E-07,-0.402295
22:09:47:41:673,5.01197E-07,-0.400319
22:09:47:41:684,5.03997E-07,-0.398343
22:09:47:41:700,5.15197E-07,-0.396367
22:09:47:41:703,5.20797E-07,-0.394391
22:09:47:41:720,5.20097E-07,-0.392416
22:09:47:41:728,5.32697E-07,-0.39044
22:09:47:41:732,5.29197E-07,-0.388464
22:09:47:41:751,5.36197E-07,-0.386488
22:09:47:41:752,5.40397E-07,-0.384512
22:09:47:41:764,5.49497E-07,-0.382536
22:09:47:41:780,5.57897E-07,-0.38056
22:09:47:41:781,5.60697E-07,-0.378584
22:09:47:41:796,5.67697E-07,-0.376608
22:09:47:41:798,5.75397E-07,-0.374632
22:09:47:41:812,5.76097E-07,-0.372656
22:09:47:41:828,5.82397E-07,-0.370681
22:09:47:41:830,5.88697E-07,-0.368705
22:09:47:41:844,5.92197E-07,-0.366729
22:09:47:41:860,5.93597E-07,-0.364753
22:09:47:41:863,6.00597E-07,-0.362777
22:09:47:41:876,5.97097E-07,-0.360801
22:09:47:41:877,5.99897E-07,-0.358825
22:09:47:41:893,5.99897E-07,-0.356849
22:09:47:41:908,5.96397E-07,-0.354873
22:09:47:41:909,5.97797E-07,-0.352897
22:09:47:41:924,5.91497E-07,-0.350921
22:09:47:41:942,5.94297E-07,-0.348945
22:09:47:41:945,5.93597E-07,-0.34697
22:09:47:41:956,5.81697E-07,-0.344994
22:09:47:41:959,5.78197E-07,-0.343018
22:09:47:41:972,5.76097E-07,-0.341042
22:09:47:41:989,5.67697E-07,-0.339066
22:09:47:41:991,5.67697E-07,-0.33709
22:09:47:42:004,5.59997E-07,-0.335114
22:09:47:42:020,5.50197E-07,-0.333138
22:09:47:42:024,5.43897E-07,-0.331162
22:09:47:42:037,5.47397E-07,-0.329186
22:09:47:42:038,5.34097E-07,-0.32721
22:09:47:42:051,5.29197E-07,-0.325235
22:09:47:42:068,5.20797E-07,-0.323259
22:09:47:42:069,5.15897E-07,-0.321283
22:09:47:42:084,5.15897E-07,-0.319307
22:09:47:42:099,5.06797E-07,-0.317331
22:09:47:42:101,5.06097E-07,-0.315355
22:09:47:42:116,4.98397E-07,-0.313379
22:09:47:42:119,4.92797E-07,-0.311403
22:09:47:42:135,4.92797E-07,-0.309427
22:09:47:42:148,4.78797E-07,-0.307451
22:09:47:42:150,4.80897E-07,-0.305475
22:09:47:42:164,4.71797E-07,-0.3035
22:09:47:42:165,4.75297E-07,-0.301524
22:09:47:42:180,4.67597E-07,-0.299548
22:09:47:42:196,4.64797E-07,-0.297572
22:09:47:42:197,4.61297E-07,-0.295596
22:09:47:42:212,4.59197E-07,-0.29362
22:09:47:42:228,4.49398E-07,-0.291644
22:09:47:42:229,4.53598E-07,-0.289668
22:09:47:42:244,4.50098E-07,-0.287692
22:09:47:42:246,4.46598E-07,-0.285716
22:09:47:42:260,4.47998E-07,-0.28374
22:09:47:42:277,4.34698E-07,-0.281765
22:09:47:42:280,4.40298E-07,-0.279789
22:09:47:42:292,4.36098E-07,-0.277813
22:09:47:42:308,4.36798E-07,-0.275837
22:09:47:42:312,4.36798E-07,-0.273861
22:09:47:42:324,4.29798E-07,-0.271885
22:09:47:42:325,4.35398E-07,-0.269909
22:09:47:42:340,4.31898E-07,-0.267933
22:09:47:42:356,4.33298E-07,-0.265957
22:09:47:42:357,4.29798E-07,-0.263981
22:09:47:42:376,4.33298E-07,-0.262005
22:09:47:42:394,4.29098E-07,-0.260029
22:09:47:42:395,4.29798E-07,-0.258054
22:09:47:42:404,4.25598E-07,-0.256078
22:09:47:42:405,4.28398E-07,-0.254102
22:09:47:42:420,4.23498E-07,-0.252126
22:09:47:42:436,4.26298E-07,-0.25015
22:09:47:42:439,4.18598E-07,-0.248174
22:09:47:42:453,4.22098E-07,-0.246198
22:09:47:42:468,4.22798E-07,-0.244222
22:09:47:42:471,4.21398E-07,-0.242246
22:09:47:42:484,4.15798E-07,-0.24027
22:09:47:42:484,4.19998E-07,-0.238294
22:09:47:42:500,4.17198E-07,-0.236319
22:09:47:42:515,4.17198E-07,-0.234343
22:09:47:42:516,4.19298E-07,-0.232367
22:09:47:42:532,4.15098E-07,-0.230391
22:09:47:42:548,4.15098E-07,-0.228415
22:09:47:42:549,4.21398E-07,-0.226439
22:09:47:42:564,4.16498E-07,-0.224463
22:09:47:42:566,4.17898E-07,-0.222487
22:09:47:42:580,4.15098E-07,-0.220511
22:09:47:42:596,4.09498E-07,-0.218535
22:09:47:42:598,4.15798E-07,-0.216559
22:09:47:42:615,4.22098E-07,-0.214583
22:09:47:42:628,4.14398E-07,-0.212608
22:09:47:42:630,4.15098E-07,-0.210632
22:09:47:42:645,4.12998E-07,-0.208656
22:09:47:42:646,4.18598E-07,-0.20668
22:09:47:42:660,4.18598E-07,-0.204704
22:09:47:42:676,4.13698E-07,-0.202728
22:09:47:42:677,4.15098E-07,-0.200752
22:09:47:42:693,4.12298E-07,-0.198776
22:09:47:42:696,4.15798E-07,-0.1968
22:09:47:42:709,4.15798E-07,-0.194824
22:09:47:42:725,4.12998E-07,-0.192848
22:09:47:42:729,4.09498E-07,-0.190873
22:09:47:42:740,4.20698E-07,-0.188897
22:09:47:42:757,4.12998E-07,-0.186921
22:09:47:42:761,4.08798E-07,-0.184945
22:09:47:42:773,4.12298E-07,-0.182969
22:09:47:42:774,4.16498E-07,-0.180993
22:09:47:42:789,4.12298E-07,-0.179017
22:09:47:42:804,4.12298E-07,-0.177041
22:09:47:42:805,4.13698E-07,-0.175065
22:09:47:42:824,4.08098E-07,-0.173089
22:09:47:42:838,4.12998E-07,-0.171113
22:09:47:42:846,4.14398E-07,-0.169138
22:09:47:42:855,4.10198E-07,-0.167162
22:09:47:42:856,4.10898E-07,-0.165186
22:09:47:42:868,4.11598E-07,-0.16321
22:09:47:42:887,4.08098E-07,-0.161234
22:09:47:42:888,4.10198E-07,-0.159258
22:09:47:42:904,4.12998E-07,-0.157282
22:09:47:42:917,4.14398E-07,-0.155306
22:09:47:42:921,4.11598E-07,-0.15333
22:09:47:42:932,4.12298E-07,-0.151354
22:09:47:42:935,4.07398E-07,-0.149378
22:09:47:42:948,4.15798E-07,-0.147402
22:09:47:42:964,4.05298E-07,-0.145427
22:09:47:42:967,4.17198E-07,-0.143451
22:09:47:42:980,4.13698E-07,-0.141475
22:09:47:42:996,4.10898E-07,-0.139499
22:09:47:42:999,4.05998E-07,-0.137523
22:09:47:43:012,4.12998E-07,-0.135547
22:09:47:43:013,4.14398E-07,-0.133571
22:09:47:43:028,4.12998E-07,-0.131595
22:09:47:43:046,4.10898E-07,-0.129619
22:09:47:43:047,4.11598E-07,-0.127643
22:09:47:43:061,4.14398E-07,-0.125667
22:09:47:43:076,4.08798E-07,-0.123692
22:09:47:43:078,4.10198E-07,-0.121716
22:09:47:43:097,4.12298E-07,-0.11974
22:09:47:43:103,4.10198E-07,-0.117764
22:09:47:43:113,4.08798E-07,-0.115788
22:09:47:43:128,4.12998E-07,-0.113812
22:09:47:43:129,4.09498E-07,-0.111836
22:09:47:43:141,4.08098E-07,-0.10986
22:09:47:43:155,4.08098E-07,-0.107884
22:09:47:43:157,4.08098E-07,-0.105908
22:09:47:43:173,4.09498E-07,-0.103932
22:09:47:43:176,4.10898E-07,-0.101957
22:09:47:43:189,4.18598E-07,-0.099981112
22:09:47:43:205,4.14398E-07,-0.0980052
22:09:47:43:208,4.17198E-07,-0.096029288
22:09:47:43:221,4.09498E-07,-0.094053376
22:09:47:43:222,4.12298E-07,-0.092077464
22:09:47:43:237,4.14398E-07,-0.090101552
22:09:47:43:257,4.11598E-07,-0.088125648
22:09:47:43:259,4.13698E-07,-0.086149728
22:09:47:43:271,4.05998E-07,-0.084173824
22:09:47:43:289,4.14398E-07,-0.082197912
22:09:47:43:295,4.15798E-07,-0.080222
22:09:47:43:300,4.15098E-07,-0.078246088
22:09:47:43:302,4.12298E-07,-0.076270168
22:09:47:43:317,4.10898E-07,-0.074294264
22:09:47:43:333,4.11598E-07,-0.072318352
22:09:47:43:336,4.11598E-07,-0.07034244
22:09:47:43:348,4.15798E-07,-0.068366528
22:09:47:43:364,4.06698E-07,-0.06639062
22:09:47:43:366,4.19998E-07,-0.064414704
22:09:47:43:381,4.14398E-07,-0.062438796
22:09:47:43:381,4.12998E-07,-0.060462884
22:09:47:43:397,4.19298E-07,-0.058486976
22:09:47:43:412,4.14398E-07,-0.056511064
22:09:47:43:413,4.11598E-07,-0.054535148
22:09:47:43:429,4.05298E-07,-0.05255924
22:09:47:43:445,4.10898E-07,-0.050583328
22:09:47:43:446,4.14398E-07,-0.048607416
22:09:47:43:461,4.16498E-07,-0.046631508
22:09:47:43:463,4.12298E-07,-0.044655596
22:09:47:43:480,4.16498E-07,-0.042679684
22:09:47:43:493,4.12998E-07,-0.040703772
22:09:47:43:496,4.12998E-07,-0.03872786
22:09:47:43:509,4.17198E-07,-0.036751948
22:09:47:43:526,4.16498E-07,-0.034776036
22:09:47:43:533,4.17198E-07,-0.032800128
22:09:47:43:540,4.19298E-07,-0.030824216
22:09:47:43:542,4.15798E-07,-0.028848304
22:09:47:43:560,4.17198E-07,-0.026872394
22:09:47:43:573,4.13698E-07,-0.024896482
22:09:47:43:575,4.15798E-07,-0.022920572
22:09:47:43:589,4.11598E-07,-0.020944658
22:09:47:43:604,4.16498E-07,-0.018968748
22:09:47:43:607,4.19998E-07,-0.016992838
22:09:47:43:620,4.20698E-07,-0.015016925
22:09:47:43:621,4.22098E-07,-0.013041015
22:09:47:43:637,4.19998E-07,-0.011065103
22:09:47:43:657,4.22098E-07,-0.009089192
22:09:47:43:666,4.24898E-07,-0.00711328
22:09:47:43:668,4.17898E-07,-0.005137369
22:09:47:43:684,4.27698E-07,-0.003161458
22:09:47:43:685,4.16498E-07,-0.001185546
22:09:47:43:701,4.22798E-07,0.000790364
