timestamp,I,V
22:10:21:53:030,1.128395E-06,-0.599886
22:10:21:53:046,9.68095E-07,-0.59791
22:10:21:53:062,8.87596E-07,-0.595934
22:10:21:53:064,8.54696E-07,-0.593959
22:10:21:53:078,8.39296E-07,-0.591983
22:10:21:53:079,8.09196E-07,-0.590007
22:10:21:53:094,8.09196E-07,-0.588031
22:10:21:53:110,8.03596E-07,-0.586055
22:10:21:53:111,7.93796E-07,-0.584079
22:10:21:53:126,7.90996E-07,-0.582103
22:10:21:53:142,7.90296E-07,-0.580127
22:10:21:53:143,7.83296E-07,-0.578151
22:10:21:53:158,7.86796E-07,-0.576175
22:10:21:53:160,7.78396E-07,-0.574199
22:10:21:53:174,7.71396E-07,-0.572223
22:10:21:53:191,7.79096E-07,-0.570248
22:10:21:53:193,7.72796E-07,-0.568272
22:10:21:53:206,7.78396E-07,-0.566296
22:10:21:53:223,7.67896E-07,-0.56432
22:10:21:53:225,7.64396E-07,-0.562344
22:10:21:53:238,7.67896E-07,-0.560368
22:10:21:53:239,7.64396E-07,-0.558392
22:10:21:53:254,7.62996E-07,-0.556416
22:10:21:53:270,7.63696E-07,-0.55444
22:10:21:53:270,7.70696E-07,-0.552464
22:10:21:53:286,7.72096E-07,-0.550488
22:10:21:53:302,7.66496E-07,-0.548513
22:10:21:53:303,7.62996E-07,-0.546537
22:10:21:53:319,7.57396E-07,-0.544561
22:10:21:53:322,7.67896E-07,-0.542585
22:10:21:53:334,7.60896E-07,-0.540609
22:10:21:53:349,7.55996E-07,-0.538633
22:10:21:53:358,7.58096E-07,-0.536657
22:10:21:53:365,7.60196E-07,-0.534681
22:10:21:53:381,7.54596E-07,-0.532705
22:10:21:53:382,7.56696E-07,-0.530729
22:10:21:53:397,7.51096E-07,-0.528753
22:10:21:53:400,7.55996E-07,-0.526778
22:10:21:53:413,7.55296E-07,-0.524802
22:10:21:53:429,7.53196E-07,-0.522826
22:10:21:53:431,7.48996E-07,-0.52085
22:10:21:53:446,7.46896E-07,-0.518874
22:10:21:53:461,7.51796E-07,-0.516898
22:10:21:53:463,7.46896E-07,-0.514922
22:10:21:53:478,7.51796E-07,-0.512946
22:10:21:53:479,7.46896E-07,-0.51097
22:10:21:53:494,7.44796E-07,-0.508994
22:10:21:53:509,7.49696E-07,-0.507018
22:10:21:53:510,7.38496E-07,-0.505042
22:10:21:53:526,7.47596E-07,-0.503067
22:10:21:53:542,7.47596E-07,-0.501091
22:10:21:53:543,7.49696E-07,-0.499115
22:10:21:53:558,7.46896E-07,-0.497139
22:10:21:53:560,7.37796E-07,-0.495163
22:10:21:53:574,7.48296E-07,-0.493187
22:10:21:53:590,7.42696E-07,-0.491211
22:10:21:53:592,7.43396E-07,-0.489235
22:10:21:53:606,7.41296E-07,-0.487259
22:10:21:53:622,7.31496E-07,-0.485283
22:10:21:53:625,7.34996E-07,-0.483307
22:10:21:53:638,7.45496E-07,-0.481332
22:10:21:53:639,7.36396E-07,-0.479356
22:10:21:53:655,7.41296E-07,-0.47738
22:10:21:53:670,7.35696E-07,-0.475404
22:10:21:53:671,7.33596E-07,-0.473428
22:10:21:53:687,7.38496E-07,-0.471452
22:10:21:53:702,7.35696E-07,-0.469476
22:10:21:53:704,7.36396E-07,-0.4675
22:10:21:53:719,7.33596E-07,-0.465524
